t,YDIF
0,0
0.0333333,0.0219375
0.0666667,0.0012025
0.1,0.00064
0.133333,0.000585
0.166667,8.25
0.2,8.25
0.233333,0
0.266667,0
0.3,0
0.333333,0
0.366667,0
0.4,0
0.433333,0
0.466667,0
0.5,0
0.533333,0
0.566667,0
0.6,0
0.633333,0.1858
0.666667,1.68949
0.7,5.78913
0.733333,8.77784
0.766667,10.2774
0.8,10.7042
0.833333,10.0398
0.866667,4.35911
0.9,0.02558
0.933333,0.01506
0.966667,0.01011
1,0.0962725
1.033333,0.0115475
1.066667,0.00465
1.1,0.003295
1.133333,0.00395
1.166667,0.00354
1.2,0.00342
1.233333,0.00378
1.266667,0.0035
1.3,0.00358
1.333333,0.00374
1.366667,0.00348
1.4,0.0221425
1.433333,0.0049975
1.466667,0.002425
1.5,0.002395
1.533333,0.00202
1.566667,0.0017
1.6,0.002
1.633333,0.00221
1.666667,0.00222
1.7,0.00212
1.733333,0.00181
1.766667,0.0016
1.8,0.00239
1.833333,0.00196
1.866667,0.0018
1.9,0.00242
1.933333,0.00203
1.966667,0.01615
2,0.06876
2.033333,0.0071025
2.066667,0.008265
2.1,0.0027
2.133333,0.001865
2.166667,0.00195
2.2,0.00148
2.233333,0.00157
2.266667,0.00155
2.3,0.00176
2.333333,0.0016
2.366667,0.00148
2.4,0.00156
2.433333,0.00171
2.466667,0.00185
2.5,0.00125
2.533333,0.00133
2.566667,0.00164
2.6,4.37293
2.633333,8.45503
2.666667,8.62621
2.7,8.76768
2.733333,8.93526
2.766667,9.14006
2.8,9.30687
2.833333,9.33414
2.866667,9.45406
2.9,9.13092
2.933333,6.14036
2.966667,0.045025
3,0.0264125
3.033333,0.00295
3.066667,0.00063
3.1,0.00518
3.133333,0.0015875
3.166667,0.00026
3.2,0.000135
3.233333,9
3.266667,9
3.3,0.00014
3.333333,0.000115
3.366667,0.0001
3.4,0.000125
3.433333,156.289
3.466667,6.11641
3.5,5.91793
3.533333,5.61634
3.566667,7.65056
3.6,6.48173
3.633333,6.84606
3.666667,7.36123
3.7,10.7067
3.733333,8.49306
3.766667,8.6148
3.8,8.662
3.833333,11.5261
3.866667,8.5447
3.9,8.31452
3.933333,8.14801
3.966667,10.7354
4,7.10931
4.033333,6.9099
4.066667,6.6558
4.1,8.25929
4.133333,5.37519
4.166667,4.45741
4.2,2.63623
4.233333,4.99619
4.266667,5.79655
4.3,5.56062
4.333333,5.45991
4.366667,9.44556
4.4,8.10322
4.433333,7.92486
4.466667,7.95564
4.5,9.49743
4.533333,5.38552
4.566667,4.66003
4.6,3.67595
4.633333,6.92319
4.666667,5.71145
4.7,6.28835
4.733333,7.32623
4.766667,11.0211
4.8,7.68595
4.833333,7.25891
4.866667,7.05525
4.9,9.42233
4.933333,4.84189
4.966667,4.18568
5,4.51525
5.033333,8.48523
5.066667,6.96751
5.1,7.44135
5.133333,7.70764
5.166667,10.2798
5.2,7.64881
5.233333,7.73871
5.266667,7.96125
5.3,10.8504
5.333333,8.00756
5.366667,7.88054
5.4,7.99699
5.433333,11.117
5.466667,7.98374
5.5,7.95025
5.533333,7.88942
5.566667,10.4524
5.6,7.33634
5.633333,6.98447
5.666667,6.98589
5.7,9.40151
5.733333,7.00055
5.766667,6.9588
5.8,6.81413
5.833333,8.99898
5.866667,6.64449
5.9,6.61037
5.933333,6.68477
5.966667,10.511
6,7.26656
6.033333,6.69394
6.066667,6.76131
6.1,8.55892
6.133333,6.08834
6.166667,5.99533
6.2,5.75351
6.233333,8.0163
6.266667,5.96441
6.3,5.73355
6.333333,5.00773
6.366667,6.45477
6.4,4.36261
6.433333,4.17394
6.466667,3.96874
6.5,5.6539
6.533333,4.03106
6.566667,4.08869
6.6,3.94077
6.633333,5.55467
6.666667,3.38744
6.7,3.0527
6.733333,2.74089
6.766667,3.81814
6.8,2.98459
6.833333,3.34807
6.866667,3.48381
6.9,4.82421
6.933333,3.22054
6.966667,3.03845
7,2.97771
7.033333,4.22704
7.066667,2.83527
7.1,2.94794
7.133333,3.19387
7.166667,4.90073
7.2,3.24384
7.233333,2.81253
7.266667,2.8845
7.3,4.66956
7.333333,3.07483
7.366667,3.14396
7.4,3.10155
7.433333,142.482
7.466667,0.00159
7.5,4
7.533333,0
7.566667,0
7.6,0.063085
7.633333,0.03092
7.666667,0.020315
7.7,0.023465
7.733333,0.02266
7.766667,0.02184
7.8,0.02352
7.833333,0.07553
7.866667,0.015965
7.9,0.008235
7.933333,0.006605
7.966667,0.0054625
8,0.165045
8.033333,0.029925
8.066667,0.0070425
8.1,0.0036225
8.133333,0.0039025
8.166667,0.00373
8.2,0.0030825
8.233333,0.002995
8.266667,0.00381
8.3,0.00354
8.333333,0.00329
8.366667,0.00337
8.4,0.00323
8.433333,0.0037
8.466667,0.00324
8.5,0.0225725
8.533333,0.00984
8.566667,0.0063325
8.6,0.00567
8.633333,0.0051025
8.666667,0.00528
8.7,0.00408
8.733333,0.00537
8.766667,0.00523
8.8,0.00502
8.833333,0.00525
8.866667,0.00477
8.9,0.00545
8.933333,0.0043
8.966667,0.00431
9,0.13117
9.033333,0.0267975
9.066667,0.0070875
9.1,0.0037175
9.133333,0.0037725
9.166667,0.00292
9.2,0.110745
9.233333,0.01509
9.266667,0.01877
9.3,0.004735
9.333333,0.0009575
9.366667,0.00033
9.4,0.000315
9.433333,0.0002975
9.466667,0.00015
9.5,0.0001
9.533333,0.00014
9.566667,0.00014
9.6,0.00012
9.633333,0.0001
9.666667,9
9.7,0.00012
9.733333,0.00014
9.766667,8
9.8,0.00012
9.833333,0.00017
9.866667,0.00011
9.9,7
9.933333,0.00012
9.966667,0.00014
10,0.04735
10.033333,0.0189075
10.066667,0.004755
10.1,0.001125
10.133333,0.0005225
10.166667,0.000265
10.2,0.000285
10.233333,0.000205
10.266667,0.000145
10.3,0.000295
10.333333,0.0726875
10.366667,0.011415
10.4,0.0017025
10.433333,0.0083125
10.466667,0.002
10.5,0.001055
10.533333,0.0008375
10.566667,0.000575
10.6,0.000655
10.633333,0.000675
10.666667,0.000555
10.7,0.000595
10.733333,0.00048
10.766667,0.00054
10.8,0.000695
10.833333,0.00063
10.866667,0.00052
10.9,0.0005
10.933333,0.00053
10.966667,0.000615
11,0.0540925
11.033333,149.314
11.066667,3.99561
11.1,4.15468
11.133333,4.228
11.166667,4.0397
11.2,4.00866
11.233333,4.1919
11.266667,4.16577
11.3,4.17875
11.333333,3.82568
11.366667,3.45436
11.4,2.67409
11.433333,2.27545
11.466667,2.05496
11.5,1.74452
11.533333,2.28828
11.566667,3.88939
11.6,2.87728
11.633333,3.48378
11.666667,3.70764
11.7,3.4074
11.733333,3.08349
11.766667,2.39729
11.8,2.41655
11.833333,2.14858
11.866667,2.39377
11.9,2.50152
11.933333,2.85624
11.966667,2.90765
12,2.95762
12.033333,3.23666
12.066667,5.38873
12.1,6.4679
12.133333,4.9294
12.166667,3.58305
12.2,1.55739
12.233333,0.863807
12.266667,2.26417
12.3,2.7322
12.333333,2.70275
12.366667,3.00478
12.4,3.45279
12.433333,3.40419
12.466667,2.66986
12.5,2.1064
12.533333,1.4253
12.566667,1.27242
12.6,0.645617
12.633333,1.13138
12.666667,1.25481
12.7,2.35488
12.733333,2.16482
12.766667,1.96575
12.8,1.73776
12.833333,1.51844
12.866667,2.30711
12.9,2.06182
12.933333,2.12446
12.966667,1.58357
13,1.57951
13.033333,1.69636
13.066667,1.6774
13.1,1.53282
13.133333,1.04693
13.166667,1.14265
13.2,1.54434
13.233333,2.15291
13.266667,2.05603
13.3,1.78734
13.333333,1.58811
13.366667,1.32471
13.4,1.43267
13.433333,1.23111
13.466667,1.06293
13.5,0.846923
13.533333,0.952562
13.566667,1.21625
13.6,1.3806
13.633333,1.35679
13.666667,1.22846
13.7,1.33229
13.733333,1.88505
13.766667,2.09418
13.8,1.15688
13.833333,2.13537
13.866667,1.3476
13.9,1.81301
13.933333,2.02521
13.966667,1.38528
14,1.10533
14.033333,0.95198
14.066667,0.942847
14.1,1.11489
14.133333,44.0125
14.166667,8.86276
14.2,11.9855
14.233333,14.2117
14.266667,15.2361
14.3,15.2571
14.333333,13.6728
14.366667,9.46556
14.4,4.48112
14.433333,0.009095
14.466667,0.0022575
14.5,0.001875
14.533333,0.0014
14.566667,0.0012975
14.6,0.145283
14.633333,0.004115
14.666667,0.0013675
14.7,0.0006825
14.733333,0.0001625
14.766667,0.00017
14.8,0.000125
14.833333,0.144173
14.866667,0.010135
14.9,4.48142
14.933333,9.46592
14.966667,13.6732
15,15.2575
15.033333,15.2339
15.066667,14.2108
15.1,11.9831
15.133333,8.86267
15.166667,5.40911
15.2,2.16609
15.233333,0.0031425
15.266667,0.00064
15.3,0.008425
15.333333,0.0014475
15.366667,0.00043
15.4,0.0003825
15.433333,0.0002875
15.466667,0.0002475
15.5,0.00022
15.533333,6.57276
15.566667,8.86152
15.6,11.982
15.633333,14.2101
15.666667,15.2329
15.7,15.2557
15.733333,13.6724
15.766667,9.46536
15.8,4.48032
15.833333,0.008305
15.866667,0.0019025
15.9,0.0018
15.933333,0.0013825
15.966667,0.0014425
16,0.145657
16.033333,0.004315
16.066667,0.00124
16.1,0.0007325
16.133333,0.0139225
16.166667,59.8291
16.2,0.01607
16.233333,0.699035
16.266667,0.77664
16.3,0.924005
16.333333,1.05949
16.366667,1.45114
16.4,0.0075225
16.433333,1.47342
16.466667,1.66021
16.5,1.83139
16.533333,1.85399
16.566667,2.08109
16.6,0.310347
16.633333,2.18724
16.666667,2.46791
16.7,2.2944
16.733333,2.59026
16.766667,2.38627
16.8,0.123508
16.833333,2.24439
16.866667,2.49887
16.9,2.76941
16.933333,2.30408
16.966667,2.21501
17,0.34077
17.033333,2.0404
17.066667,1.7987
17.1,1.49827
17.133333,1.33728
17.166667,0.836985
17.2,0.31858
17.233333,0.93445
17.266667,0.988128
17.3,0.98698
17.333333,1.02204
17.366667,1.33355
17.4,0.129497
17.433333,1.33546
17.466667,1.31889
17.5,1.03466
17.533333,0.48583
17.566667,0.61434
17.6,0.0186425
17.633333,1.17832
17.666667,1.07306
17.7,1.76944
17.733333,2.00483
17.766667,2.59965
17.8,0.0789225
17.833333,3.53123
17.866667,4.45353
17.9,5.62215
17.933333,6.42548
17.966667,6.86219
18,0.317242
18.033333,6.88453
18.066667,6.39665
18.1,5.74144
18.133333,5.55462
18.166667,5.7516
18.2,0.01247
18.233333,5.61401
18.266667,4.99694
18.3,4.5266
18.333333,3.61655
18.366667,3.02135
18.4,0.0941875
18.433333,2.90598
18.466667,3.66191
18.5,4.2178
18.533333,2.99142
18.566667,4.59457
18.6,0.0717125
18.633333,4.19655
18.666667,3.6771
18.7,4.07567
18.733333,4.70765
18.766667,4.81229
18.8,0.0004825
18.833333,5.60098
18.866667,7.54312
18.9,8.62535
18.933333,8.83177
18.966667,9.43
19,0.549015
19.033333,9.27949
19.066667,8.72737
19.1,7.57176
19.133333,7.06944
19.166667,7.5284
19.2,0.0001925
19.233333,7.78068
19.266667,8.01098
19.3,7.80828
19.333333,7.54851
19.366667,8.30886
19.4,0.000415
19.433333,8.45175
19.466667,7.40662
19.5,7.29414
19.533333,7.87976
19.566667,9.50455
19.6,0.0045675
19.633333,10.0534
19.666667,9.14825
19.7,10.9373
19.733333,11.6667
19.766667,11.8075
19.8,0.00896
19.833333,12.0935
19.866667,13.2715
19.9,12.7839
19.933333,51.4127
19.966667,0.0133
20,2.57934
20.033333,2.90197
20.066667,3.52325
20.1,3.76975
20.133333,0.169095
20.166667,3.76457
20.2,3.24586
20.233333,2.63828
20.266667,2.17866
20.3,0.08312
20.333333,2.09833
20.366667,2.33769
20.4,3.35272
20.433333,6.2501
20.466667,0.0640275
