t,YDIF
0,0
0.0333333,0.202817
0.0666667,0.200478
0.1,0.0208862
0.133333,0.00183929
0.166667,7.14286
0.2,0
0.233333,0
0.266667,0
0.3,0
0.333333,0
0.366667,0
0.4,0
0.433333,0
0.466667,0
0.5,0
0.533333,0
0.566667,0
0.6,0
0.633333,0
0.666667,0
0.7,0
0.733333,0
0.766667,0.0194263
0.8,3.13467
0.833333,9.3012
0.866667,8.8468
0.9,6.2299
0.933333,0.0107321
0.966667,0.00115848
1,2.67857
1.033333,0
1.066667,0
1.1,0
1.133333,0
1.166667,0
1.2,0
1.233333,0
1.266667,0
1.3,0
1.333333,0
1.366667,0
1.4,0
1.433333,0
1.466667,0
1.5,0
1.533333,0
1.566667,0
1.6,0
1.633333,0
1.666667,0
1.7,0
1.733333,0
1.766667,0
1.8,0
1.833333,0
1.866667,0
1.9,0
1.933333,0
1.966667,0
2,5.01775
2.033333,5.16174
2.066667,5.43937
2.1,5.77576
2.133333,5.58494
2.166667,4.84139
2.2,0.0086942
2.233333,0.000825893
2.266667,2.67857
2.3,0
2.333333,0
2.366667,0
2.4,0
2.433333,0
2.466667,0
2.5,0
2.533333,0
2.566667,0
2.6,0
2.633333,0
2.666667,0
2.7,0
2.733333,0
2.766667,0
2.8,0
2.833333,0
2.866667,0
2.9,0
2.933333,0
2.966667,0
3,0
3.033333,0
3.066667,0
3.1,0
3.133333,0
3.166667,0
3.2,0
3.233333,0
3.266667,0
3.3,0
3.333333,0
3.366667,0
3.4,0
3.433333,0
3.466667,0
3.5,0
3.533333,0
3.566667,0
3.6,175.925
3.633333,8.96289
3.666667,8.88129
3.7,8.8754
3.733333,8.89897
3.766667,8.83671
3.8,8.87968
3.833333,8.91637
3.866667,8.84485
3.9,8.89752
3.933333,8.93326
3.966667,8.8993
4,8.95907
4.033333,8.9312
4.066667,8.87986
4.1,8.84515
4.133333,8.76521
4.166667,8.6346
4.2,8.51197
4.233333,8.4663
4.266667,8.25764
4.3,8.12031
4.333333,7.94608
4.366667,7.87001
4.4,7.89218
4.433333,7.82694
4.466667,7.3898
4.5,7.09264
4.533333,6.74512
4.566667,6.53465
4.6,6.5383
4.633333,6.53186
4.666667,6.51367
4.7,6.48301
4.733333,8.13065
4.766667,6.91446
4.8,6.52227
4.833333,6.29824
4.866667,5.92894
4.9,5.60064
4.933333,5.47567
4.966667,5.18002
5,5.11536
5.033333,5.09627
5.066667,5.01311
5.1,5.00226
5.133333,4.88394
5.166667,4.71057
5.2,4.36444
5.233333,4.38511
5.266667,4.36072
5.3,4.33292
5.333333,4.35603
5.366667,4.3348
5.4,4.25265
5.433333,4.20553
5.466667,3.98774
5.5,3.84302
5.533333,3.78441
5.566667,3.80807
5.6,3.92061
5.633333,3.92996
5.666667,3.87484
5.7,3.90524
5.733333,3.85215
5.766667,3.87301
5.8,3.95002
5.833333,4.02536
5.866667,4.0259
5.9,4.05264
5.933333,4.18108
5.966667,4.32324
6,4.40238
6.033333,4.39896
6.066667,4.46819
6.1,4.66029
6.133333,4.75708
6.166667,4.78543
6.2,4.85311
6.233333,4.79875
6.266667,4.64835
6.3,22.2404
6.333333,5.04186
6.366667,5.03722
6.4,5.08856
6.433333,5.0007
6.466667,4.98536
6.5,4.97378
6.533333,4.79555
6.566667,4.61671
6.6,4.65147
6.633333,4.42422
6.666667,4.35195
6.7,4.47798
6.733333,4.51954
6.766667,4.52008
6.8,4.61089
6.833333,4.67312
6.866667,4.73414
6.9,4.84892
6.933333,5.38904
6.966667,5.56763
7,5.64482
7.033333,5.73995
7.066667,5.84219
7.1,5.99254
7.133333,5.96101
7.166667,5.86988
7.2,5.96675
7.233333,6.04749
7.266667,6.08714
7.3,6.18941
7.333333,6.31741
7.366667,6.2841
7.4,6.28007
7.433333,6.36576
7.466667,18.3655
7.5,0.0759308
7.533333,0.0738214
7.566667,0.0726295
7.6,0.0748862
7.633333,0.0766518
7.666667,0.0771763
7.7,0.0745156
7.733333,0.075317
7.766667,0.0744196
7.8,0.0732187
7.833333,0.0728996
7.866667,0.0758527
7.9,0.0767277
7.933333,0.0779509
7.966667,0.0770781
8,0.176578
8.033333,0.091817
8.066667,0.107442
8.1,0.0682344
8.133333,0.0614018
8.166667,0.0629531
8.2,0.0619375
8.233333,0.0616987
8.266667,0.0620737
8.3,0.0628616
8.333333,0.0637701
8.366667,0.0658951
8.4,0.0676183
8.433333,0.0668259
8.466667,0.0642835
