t,scene_score
0,0.000000
0.0333333,0.001534
0.0666667,0.000141
0.1,0.000157
0.133333,0.000014
0.166667,0.000001
0.2,0.003165
0.233333,0.000045
0.266667,0.000007
0.3,0.000001
0.333333,0.000000
0.366667,0.000000
0.4,0.003152
0.433333,0.000044
0.466667,0.000007
0.5,0.000000
0.533333,0.000000
0.566667,0.000000
0.6,0.003137
0.633333,0.000045
0.666667,0.000007
0.7,0.000000
0.733333,0.000000
0.766667,0.000079
0.8,0.016588
0.833333,0.036125
0.866667,0.033751
0.9,0.004708
0.933333,0.000168
0.966667,0.000020
1,0.003115
1.033333,0.000044
1.066667,0.000007
1.1,0.000001
1.133333,0.000000
1.166667,0.000000
1.2,0.003125
1.233333,0.000043
1.266667,0.000007
1.3,0.000000
1.333333,0.000000
1.366667,0.000000
1.4,0.003138
1.433333,0.000046
1.466667,0.000008
1.5,0.000001
1.533333,0.000000
1.566667,0.000000
1.6,0.003136
1.633333,0.000045
1.666667,0.000006
1.7,0.000000
1.733333,0.000000
1.766667,0.000000
1.8,0.003135
1.833333,0.000045
1.866667,0.000007
1.9,0.000000
1.933333,0.000000
1.966667,0.000000
2,0.076326
2.033333,0.001110
2.066667,0.002163
2.1,0.064300
2.133333,0.059204
2.166667,0.001920
2.2,0.003277
2.233333,0.000059
2.266667,0.000009
2.3,0.000001
2.333333,0.000000
2.366667,0.000000
2.4,0.003134
2.433333,0.000044
2.466667,0.000006
2.5,0.000000
2.533333,0.000000
2.566667,0.000000
2.6,0.003132
2.633333,0.000045
2.666667,0.000006
2.7,0.000000
2.733333,0.000000
2.766667,0.000000
2.8,0.003140
2.833333,0.000045
2.866667,0.000008
2.9,0.000000
2.933333,0.000000
2.966667,0.000000
3,0.003131
3.033333,0.000043
3.066667,0.000007
3.1,0.000001
3.133333,0.000000
3.166667,0.000000
3.2,0.003122
3.233333,0.000044
3.266667,0.000007
3.3,0.000000
3.333333,0.000000
3.366667,0.000000
3.4,0.003137
3.433333,0.000045
3.466667,0.000007
3.5,0.000000
3.533333,0.000000
3.566667,0.000000
3.6,1.000000
3.633333,0.058401
3.666667,0.000479
3.7,0.000407
3.733333,0.000354
3.766667,0.000766
3.8,0.000191
3.833333,0.000061
3.866667,0.000717
3.9,0.000322
3.933333,0.000907
3.966667,0.000238
4,0.000481
4.033333,0.000375
4.066667,0.000074
4.1,0.000664
4.133333,0.000420
4.166667,0.000220
4.2,0.000706
4.233333,0.000569
