t,YDIF
0,0
0.0333333,0.0054725
0.0666667,0.00027
0.1,4
0.133333,0
0.166667,0
0.2,0
0.233333,0
0.266667,0
0.3,0
0.333333,0
0.366667,0
0.4,0
0.433333,0
0.466667,0
0.5,0
0.533333,0
0.566667,0
0.6,0.0471525
0.633333,0.0148425
0.666667,0.0089375
0.7,0.007485
0.733333,0.0070825
0.766667,0.05084
0.8,4.47286
0.833333,9.5682
0.866667,11.8002
0.9,10.3394
0.933333,0.0130975
0.966667,0.006365
1,0.041565
1.033333,0.00961
1.066667,0.0038
1.1,0.00282
1.133333,0.00333
1.166667,0.0029
1.2,0.00296
1.233333,0.00328
1.266667,0.00286
1.3,0.00302
1.333333,0.0196025
1.366667,0.0043675
1.4,0.002025
1.433333,0.002195
1.466667,0.00179
1.5,0.00157
1.533333,0.00181
1.566667,0.00186
1.6,0.00178
1.633333,0.00184
1.666667,0.00165
1.7,0.0016
1.733333,0.00219
1.766667,0.00152
1.8,0.00154
1.833333,0.00206
1.866667,0.01468
1.9,0.005125
1.933333,0.003005
1.966667,0.00226
2,9.01958
2.033333,9.33564
2.066667,9.68839
2.1,10.0096
2.133333,10.1008
2.166667,9.62156
2.2,0.0165075
2.233333,0.0051525
2.266667,0.002935
2.3,0.0023825
2.333333,0.002095
2.366667,0.00245
2.4,0.001585
2.433333,0.00212
2.466667,0.00285
2.5,0.00214
2.533333,0.00207
2.566667,0.00194
2.6,0.00226
2.633333,0.0609475
2.666667,0.0042375
2.7,0.00603
2.733333,0.00126
2.766667,0.00031
2.8,0.0001625
2.833333,8.5
2.866667,7.5
2.9,0.000185
2.933333,0.000125
2.966667,0.0001
3,0.0105125
3.033333,0.00624
3.066667,0.00172
3.1,0.000435
3.133333,0.000175
3.166667,8
3.2,6
3.233333,0.00011
3.266667,0.000105
3.3,0.00011
3.333333,8.5
3.366667,7
3.4,0.00011
3.433333,0.00011
3.466667,7.5
3.5,0.0001
3.533333,0.000115
3.566667,8
3.6,0.0287525
3.633333,0.004025
3.666667,0.0035075
3.7,7.67983
3.733333,2.75
3.766667,0
3.8,0
3.833333,0
3.866667,0
3.9,0
3.933333,0
3.966667,0
4,0
4.033333,0
4.066667,0
4.1,0
4.133333,0
4.166667,0
4.2,0
4.233333,0
4.266667,0
4.3,0
4.333333,0
4.366667,0
4.4,0
