# 김직선 말투 지문 — 다른 트레이딩 유튜버 12명 대비 유독 많이 쓰는 표현 (Dunning G², 2026-09-22)
# 김직선 롱폼 72편 자막 418,635자 · 배경 12채널 333,065자 · 형태소 1~3-gram · 김직선 15회 이상만
표현(형태소)	김직선	배경	배율	G2
규칙/NN	99	19	3.94	41.0
ᆯ게요/EF ./SF	168	50	2.58	40.9
년/NN	200	66	2.33	40.9
유로/NN	42	1	21.71	40.4
포기/NN	51	3	11.30	40.3
원/NN 을/JK 벌/VV	35	0	54.27	40.2
것/NN 들/XS	87	15	4.35	39.5
포기/NN 하/XS	46	2	14.26	39.5
일지/NN	46	2	14.26	39.5
저/NP 는/JX 이/MM	50	3	11.08	39.3
이분/NP	41	1	21.19	39.3
이/VC 예요/EF ./SF	358	155	1.78	39.2
예요/EF ./SF	358	155	1.78	39.2
ᆸ니다/EF 하지만/MA	34	0	52.72	39.0
ᆸ니다/EF 나/NP	34	0	52.72	39.0
얘/NP 가/JK	122	30	3.10	38.7
포지션/NN 을/JK 잡/VV	60	6	7.16	38.6
변/NN 곡/NN	60	6	7.16	38.6
직장/NN	45	2	13.95	38.4
당하/VV	63	7	6.51	38.4
트레이딩/NN 을/JK 하/VV	56	5	7.89	38.0
찌르/VV	33	0	51.17	37.9
이분/NP 들/XS	33	0	51.17	37.9
./SF 저/NP	136	37	2.81	37.8
경험/NN	102	22	3.51	37.6
거/NN 같/VA	109	25	3.31	37.6
비/NN	118	29	3.10	37.5
국내/NN	65	8	5.93	37.4
다/MA	351	154	1.76	36.9
만/JX	717	381	1.46	36.7
한/MM 시간/NN 봉/NN	61	7	6.31	36.5
곡/NN	61	7	6.31	36.5
어도/EC	329	142	1.79	36.3
었/EP 어요/EF ./SF	190	65	2.25	36.3
모든/MM	146	43	2.60	36.1
위하/VV 어서/EC	85	16	3.99	35.8
하루/NN 에/JK	66	9	5.39	35.6
레버리지/NN	104	24	3.29	35.6
적/XS 자유/NN	31	0	48.07	35.6
경제/NN 적/XS	31	0	48.07	35.6
한/MM 달/NN	63	8	5.75	35.6
김/NN	46	3	10.19	35.2
이/MM 책/NN	37	1	19.12	34.9
어요/EF 저/NP 가/JK	37	1	19.12	34.9
벌/VV 고/EC 있/VX	37	1	19.12	34.9
뜨/VV	56	6	6.68	34.8
을/JK	4904	3333	1.14	34.6
이/VC ᆫ/ET 거/NN	73	12	4.53	34.5
성취/NN	30	0	46.52	34.4
잡/VV	478	235	1.57	34.2
손실/NN 을/JK 보/VV	55	6	6.56	33.9
도구/NN	72	12	4.47	33.6
잡/VV 었/EP	87	18	3.65	33.5
하/VV	2536	1639	1.20	33.4
경제/NN 적/XS 자유/NN	29	0	44.97	33.3
적/VV	44	3	9.75	33.2
못/MA 하/VV	118	32	2.81	33.0
도/JX 하/VV	54	6	6.44	32.9
이/VC 었/EP 어요/EF	57	7	5.89	32.8
거래/NN 를/JK 하/VV	109	28	2.97	32.8
