t,scene_score
0,0.000000
0.0333667,0.000198
0.0667333,0.000007
0.1001,0.000000
0.133467,0.000001
0.166833,0.000000
0.2002,0.003174
0.233567,0.000001
0.266933,0.000000
0.3003,0.000000
0.333667,0.000000
0.367033,0.000000
0.4004,0.003162
0.433767,0.000000
0.467133,0.000000
0.5005,0.000000
0.533867,0.000000
0.567233,0.000000
0.6006,0.000578
0.633967,0.000156
0.667333,0.000077
0.7007,0.000009
0.734067,0.000004
0.767433,0.000000
0.8008,0.000003
0.834167,0.000002
0.867533,0.000001
0.9009,0.000000
0.934267,0.000002
0.967633,0.000003
1.001,0.000658
1.034367,0.000129
1.067733,0.000052
1.1011,0.000015
1.134467,0.000008
1.167833,0.000001
1.2012,0.000004
1.234567,0.000158
1.267933,0.000047
1.3013,0.000021
1.334667,0.000001
1.368033,0.000002
1.4014,0.000001
1.434767,0.000003
1.468133,0.000003
1.5015,0.000001
1.534867,0.000001
1.568233,0.000001
1.6016,0.000001
1.634967,0.000002
1.668333,0.000002
1.7017,0.000000
1.735067,0.000003
1.768433,0.000129
1.8018,0.000048
1.835167,0.000022
1.868533,0.000002
1.9019,0.000002
1.935267,0.000000
1.968633,0.000003
2.002,0.138817
2.035367,0.060746
2.068733,0.000045
2.1021,0.000019
2.135467,0.000000
2.168833,0.000004
2.2022,0.000001
2.235567,0.000001
2.268933,0.000002
2.3023,0.000000
2.335667,0.000002
2.369033,0.000001
2.4024,0.000492
2.435767,0.000067
2.469133,0.000016
2.5025,0.000018
2.535867,0.000004
2.569233,0.000002
2.6026,0.000001
2.635967,0.000000
2.669333,0.000000
2.7027,0.000000
2.736067,0.000000
2.769433,0.000000
2.8028,0.000000
2.836167,0.000000
2.869533,0.000000
2.9029,0.000000
2.936267,0.000000
2.969633,0.000000
3.003,0.000203
3.036367,0.000074
3.069733,0.000019
3.1031,0.000005
3.136467,0.000002
3.169833,0.000001
3.2032,0.000000
3.236567,0.000000
3.269933,0.000305
3.3033,0.544984
3.336667,0.000041
3.370033,0.000170
3.4034,0.000034
3.436767,0.000004
3.470133,0.000002
3.5035,0.000001
3.536867,0.000000
3.570233,0.000000
3.6036,0.000000
3.636967,0.000000
3.670333,0.000000
3.7037,0.000000
3.737067,0.000000
3.770433,0.000000
3.8038,0.000000
3.837167,0.000000
3.870533,0.000000
3.9039,0.000000
3.937267,0.000190
3.970633,0.000067
4.004,0.000113
4.037367,0.000084
4.070733,0.000037
4.1041,0.000005
4.137467,0.000001
4.170833,0.000000
4.2042,0.000000
4.237567,0.000000
4.270933,0.000000
4.3043,0.000000
4.337667,0.000000
4.371033,0.000000
4.4044,0.000000
4.437767,0.000000
4.471133,0.000000
4.5045,0.000000
4.537867,0.000000
4.571233,0.000000
4.6046,0.000000
4.637967,0.000000
4.671333,0.000000
4.7047,0.000000
4.738067,0.000000
4.771433,0.000000
4.8048,0.000000
4.838167,0.000000
4.871533,0.000000
4.9049,0.000000
4.938267,0.000000
4.971633,0.000000
5.005,0.000067
5.038367,0.000002
5.071733,0.000037
5.1051,0.000005
5.138467,0.000001
5.171833,0.000000
5.2052,0.000000
5.238567,0.000000
5.271933,0.000000
5.3053,0.001019
5.338667,0.027539
5.372033,0.000355
5.4054,0.000508
5.438767,0.000035
5.472133,0.000065
5.5055,0.000438
5.538867,0.000234
5.572233,0.000163
5.6056,0.001091
5.638967,0.000756
5.672333,0.000351
5.7057,0.000212
5.739067,0.000163
5.772433,0.000344
5.8058,0.000043
5.839167,0.000164
5.872533,0.000129
5.9059,0.000050
5.939267,0.000011
5.972633,0.000702
6.006,0.000103
6.039367,0.000341
6.072733,0.000103
6.1061,0.000419
6.139467,0.000437
6.172833,0.000045
6.2062,0.000492
6.239567,0.000506
6.272933,0.000014
6.3063,0.000285
6.339667,0.000000
6.373033,0.000059
6.4064,0.000177
6.439767,0.000344
6.473133,0.001005
6.5065,0.000080
6.539867,0.000122
6.573233,0.000321
6.6066,0.000369
6.639967,0.000432
6.673333,0.000305
6.7067,0.000193
6.740067,0.000185
6.773433,0.000220
6.8068,0.000522
6.840167,0.000331
6.873533,0.000332
6.9069,0.000532
6.940267,0.000234
6.973633,0.000036
7.007,0.000240
7.040367,0.000322
7.073733,0.031255
7.1071,0.000040
7.140467,0.000006
7.173833,0.000002
7.2072,0.000000
7.240567,0.000000
7.273933,0.000000
7.3073,0.000000
7.340667,0.000000
7.374033,0.000000
7.4074,0.000000
7.440767,0.000000
7.474133,0.000000
7.5075,0.000000
7.540867,0.000000
7.574233,0.000000
7.6076,0.000000
7.640967,0.000000
7.674333,0.000000
7.7077,0.000000
7.741067,0.000000
7.774433,0.000000
7.8078,0.000000
7.841167,0.000000
7.874533,0.000000
7.9079,0.000000
7.941267,0.000000
7.974633,0.000000
8.008,0.000091
8.041367,0.000008
8.074733,0.000041
8.1081,0.000008
8.141467,0.000001
8.174833,0.000001
8.2082,0.000000
8.241567,0.000000
8.274933,0.000000
8.3083,0.000000
8.341667,0.000000
8.375033,0.000000
8.4084,0.000000
8.441767,0.000000
8.475133,0.000000
8.5085,0.000000
8.541867,0.000000
8.575233,0.000000
8.6086,0.000000
8.641967,0.000000
8.675333,0.000000
8.7087,0.000000
8.742067,0.000000
8.775433,0.000000
8.8088,0.000000
8.842167,0.000000
8.875533,0.000000
8.9089,0.000000
8.942267,0.000000
8.975633,0.000000
9.009,0.000087
9.042367,0.000004
9.075733,0.000041
9.1091,0.000008
9.142467,0.000001
9.175833,0.000001
9.2092,0.000000
9.242567,0.000000
9.275933,0.000000
9.3093,0.077143
9.342667,0.000406
9.376033,0.000211
9.4094,0.000388
9.442767,0.000314
9.476133,0.000156
9.5095,0.000169
9.542867,0.000050
9.576233,0.000274
9.6096,0.000059
9.642967,0.000024
9.676333,0.000150
9.7097,0.000133
9.743067,0.000044
9.776433,0.000308
9.8098,0.000481
9.843167,0.000940
9.876533,0.000575
9.9099,0.000521
9.943267,0.000466
9.976633,0.000058
10.01,0.000199
10.043367,0.000084
10.076733,0.000045
10.1101,0.000230
10.143467,0.000184
10.176833,0.000534
10.2102,0.000155
10.243567,0.000264
10.276933,0.000431
10.3103,0.000425
10.343667,0.000008
10.377033,0.000726
10.4104,0.000528
10.443767,0.000048
10.477133,0.000049
10.5105,0.000077
10.543867,0.000123
10.577233,0.000278
10.6106,0.000214
10.643967,0.000240
10.677333,0.000095
10.7107,0.000014
10.744067,0.000305
10.777433,0.000131
10.8108,0.000118
10.844167,0.000115
10.877533,0.000174
10.9109,0.000031
10.944267,0.000255
10.977633,0.000254
11.011,0.000657
11.044367,0.000324
11.077733,0.000042
11.1111,0.000007
11.144467,0.000001
11.177833,0.000001
11.2112,0.022839
11.244567,0.000043
11.277933,0.000007
11.3113,0.000001
11.344667,0.000000
11.378033,0.000000
11.4114,0.000000
11.444767,0.000000
11.478133,0.000000
11.5115,0.000000
11.544867,0.000000
11.578233,0.000000
11.6116,0.000000
11.644967,0.000000
11.678333,0.000000
11.7117,0.000000
11.745067,0.000000
11.778433,0.000000
11.8118,0.000000
11.845167,0.000000
11.878533,0.000000
11.9119,0.000000
11.945267,0.000000
11.978633,0.000000
12.012,0.000092
12.045367,0.000007
12.078733,0.000043
