t,YDIF
0,0
0.0333667,0.0093975
0.0667333,0.00022
0.1001,0.00071
0.133467,0.0004425
0.166833,0
0.2002,0
0.233567,0
0.266933,0
0.3003,0
0.333667,0
0.367033,0
0.4004,0
0.433767,0
0.467133,0
0.5005,0
0.533867,0
0.567233,0
0.6006,0.0618675
0.633967,0.014375
0.667333,0.0066125
0.7007,0.00581
0.734067,0.0052
0.767433,0.00554
0.8008,0.00537
0.834167,0.00525
0.867533,0.00526
0.9009,0.00556
0.934267,0.00554
0.967633,0.00524
1.001,0.0664825
1.034367,0.0092575
1.067733,0.004185
1.1011,0.002765
1.134467,0.003615
1.167833,0.00356
1.2012,0.00286
1.234567,0.0168725
1.267933,0.004305
1.3013,0.00207
1.334667,0.00209
1.368033,0.00155
1.4014,0.00146
1.434767,0.00134
1.468133,0.00165
1.5015,0.00167
1.534867,0.0016
1.568233,0.00154
1.6016,0.00164
1.634967,0.00146
1.668333,0.00126
1.7017,0.00154
1.735067,0.00172
1.768433,0.0133575
1.8018,0.0046675
1.835167,0.00248
1.868533,0.00226
1.9019,0.00183
1.935267,0.00203
1.968633,0.00158
2.002,21.4401
2.035367,0.0092475
2.068733,0.002555
2.1021,0.00137
2.135467,0.00145
2.168833,0.00111
2.2022,0.00121
2.235567,0.00081
2.268933,0.00129
2.3023,0.00143
2.335667,0.00119
2.369033,0.00121
2.4024,0.0437725
2.435767,0.0055425
2.469133,0.00626
2.5025,0.001985
2.535867,0.0004625
2.569233,0.00018
2.6026,7
2.635967,5
2.669333,0.00013
2.7027,9
2.736067,0.0001
2.769433,9
2.8028,6
2.836167,9
2.869533,9
2.9029,0.00011
2.936267,0.0001
2.969633,9
3.003,0.0153275
3.036367,0.00624
3.069733,0.00172
3.1031,0.000435
3.136467,0.000175
3.169833,8
3.2032,6
3.236567,0.00011
3.269933,0.0287625
3.3033,7.68011
3.336667,4
3.370033,0
3.4034,0
3.436767,0
3.470133,0
3.5035,0
3.536867,0
3.570233,0
3.6036,0
3.636967,0
3.670333,0
3.7037,0
3.737067,0
3.770433,0
3.8038,0
3.837167,0
3.870533,0
3.9039,0
3.937267,0
3.970633,0
4.004,0
4.037367,0
4.070733,0
4.1041,0
4.137467,0
4.170833,0
4.2042,0
4.237567,0
4.270933,0
4.3043,0
4.337667,0
4.371033,0
4.4044,0
4.437767,0
4.471133,0
4.5045,0
4.537867,0
4.571233,0
4.6046,0
4.637967,0
4.671333,0
4.7047,0
4.738067,0
4.771433,0
4.8048,0
4.838167,0
4.871533,0
4.9049,0
4.938267,0
4.971633,0
5.005,0
5.038367,0
5.071733,0
5.1051,0
5.138467,0
5.171833,0
5.2052,0
5.238567,0
5.271933,0
5.3053,0
5.338667,0
5.372033,0
5.4054,0
5.438767,0
5.472133,0
5.5055,0
5.538867,0
5.572233,0
5.6056,0
5.638967,0
5.672333,0
5.7057,0
5.739067,0
5.772433,0
5.8058,0
5.839167,0
5.872533,0
5.9059,0
5.939267,0
5.972633,0
6.006,0.337415
6.039367,0.403205
6.072733,0.382927
6.1061,0.540543
6.139467,0.27037
6.172833,0.401025
6.2062,0.64584
6.239567,0.38948
6.272933,0.390205
6.3063,0.538478
6.339667,0.53165
6.373033,0.56801
6.4064,0.47646
6.439767,0.1295
6.473133,0.626297
6.5065,0.71342
6.539867,0.66073
6.573233,0.494165
6.6066,0.303015
6.639967,0.527022
6.673333,0.36874
6.7067,0.26876
6.740067,0.36469
6.773433,0.250745
6.8068,0.49374
6.840167,0.0006925
6.873533,0.00062
6.9069,0.00059
6.940267,0.000565
6.973633,0.000585
7.007,0.0097825
7.040367,0.005325
7.073733,0.0013675
7.1071,0.000705
7.140467,0.000685
7.173833,0.00061
7.2072,0.000635
7.240567,0.000635
7.273933,0.00061
7.3073,0.000635
7.340667,0.000635
7.374033,0.00061
7.4074,0.000635
7.440767,0.000635
7.474133,0.00061
7.5075,0.000635
7.540867,0.000635
7.574233,0.00061
7.6076,0.000635
7.640967,0.000635
7.674333,0.00061
7.7077,0.000635
7.741067,0.000635
7.774433,0.00061
7.8078,0.000635
7.841167,0.000635
7.874533,0.00061
7.9079,0.000635
7.941267,0.000635
7.974633,0.00061
8.008,0.0057925
8.041367,0.005325
8.074733,0.0013675
8.1081,0.000705
8.141467,0.000685
8.174833,0.00061
8.2082,0.000635
8.241567,0.000635
8.274933,0.00061
8.3083,0.000635
8.341667,0.000635
8.375033,0.00061
8.4084,0.000635
8.441767,0.000635
8.475133,0.00061
8.5085,0.000635
8.541867,0.000635
8.575233,0.00061
8.6086,0.000635
8.641967,0.000635
8.675333,0.00061
8.7087,0.000635
8.742067,0.000635
8.775433,0.00061
8.8088,0.000635
8.842167,0.000635
8.875533,0.00061
8.9089,0.000635
8.942267,0.000635
8.975633,0.00061
9.009,0.0057925
9.042367,0.005325
9.075733,0.0013675
9.1091,0.000705
9.142467,0.000685
9.175833,0.00061
9.2092,0.000635
9.242567,0.000635
9.275933,0.00061
9.3093,11.0614
9.342667,5.25
9.376033,0
9.4094,0
9.442767,0
9.476133,0
9.5095,0
9.542867,0
9.576233,0
9.6096,0
9.642967,0
9.676333,0
9.7097,0
9.743067,0
9.776433,0
9.8098,0
9.843167,0
9.876533,0
9.9099,0
9.943267,0
9.976633,0
10.01,0
10.043367,0.183075
10.076733,0.359552
10.1101,0.481693
10.143467,0.364755
10.176833,0.550585
10.2102,0.17586
10.243567,0.321487
10.276933,0.363192
10.3103,0.175028
10.343667,0.170363
10.377033,0.428145
10.4104,0.13954
10.443767,0.171467
10.477133,0.155185
10.5105,0.116642
10.543867,0.064545
10.577233,0.0509725
10.6106,0.0509825
10.643967,0.0543275
10.677333,0.0328125
10.7107,0.251412
10.744067,0.106957
10.777433,0.041435
10.8108,0.0273425
10.844167,0.0033225
10.877533,0.000245
10.9109,0.00024
10.944267,0.00022
10.977633,0.00024
11.011,0.00684
11.044367,0.003225
11.077733,0.0007125
11.1111,0.000315
11.144467,0.00028
11.177833,0.00027
11.2112,0.00029
11.244567,0.00026
11.277933,0.00024
11.3113,0.00029
11.344667,0.00029
11.378033,0.00024
11.4114,0.00026
11.444767,0.00029
11.478133,0.00027
11.5115,0.00026
11.544867,0.00026
11.578233,0.00027
11.6116,0.00029
11.644967,0.00026
11.678333,0.00024
11.7117,0.00029
11.745067,0.00029
11.778433,0.00024
11.8118,0.00026
11.845167,0.00029
11.878533,0.00027
11.9119,0.00026
11.945267,0.00026
11.978633,0.00027
12.012,0.0033825
12.045367,0.003225
12.078733,0.0007125
12.1121,0.000315
12.145467,0.00028
12.178833,0.00027
12.2122,0.00029
12.245567,0.00026
12.278933,0.00024
12.3123,0.00029
12.345667,0.00029
12.379033,0.00024
12.4124,0.00026
12.445767,0.00029
12.479133,0.00027
12.5125,0.00026
12.545867,0.00026
12.579233,0.00027
12.6126,0.00029
12.645967,0.00026
12.679333,0.00024
12.7127,0.00029
12.746067,0.00029
12.779433,0.00024
12.8128,0.00026
12.846167,0.00029
12.879533,0.00027
12.9129,0.00026
12.946267,0.00026
12.979633,0.00027
13.013,0.0033825
13.046367,0.003225
13.079733,0.0007125
13.1131,0.000315
13.146467,0.00028
13.179833,0.00027
13.2132,0.00029
13.246567,0.00026
13.279933,0.00024
13.3133,0.00029
13.346667,0.00029
13.380033,0.00024
13.4134,0.00026
13.446767,0.00029
13.480133,0.00027
13.5135,0.00026
13.546867,0.00026
13.580233,0.00027
13.6136,0.00029
13.646967,0.00026
13.680333,0.00024
13.7137,0.00029
13.747067,0.00029
13.780433,0.00024
13.8138,0.00026
13.847167,0.00029
13.880533,0.00027
13.9139,0.00026
13.947267,0.00026
