t,scene_score
0,0.000000
0.0333333,0.001372
0.0666667,0.000273
0.1,0.000119
0.133333,0.000014
0.166667,0.000000
0.2,0.003092
0.233333,0.000043
0.266667,0.000007
0.3,0.000001
0.333333,0.000000
0.366667,0.000000
0.4,0.003059
0.433333,0.000044
0.466667,0.000008
0.5,0.000000
0.533333,0.000000
0.566667,0.000000
0.6,0.003052
0.633333,0.000043
0.666667,0.000006
0.7,0.000000
0.733333,0.000000
0.766667,0.000079
0.8,0.016575
0.833333,0.034538
0.866667,0.027676
0.9,0.011334
0.933333,0.000167
0.966667,0.000020
1,0.003883
1.033333,0.000030
1.066667,0.000002
1.1,0.000000
1.133333,0.000000
1.166667,0.000000
1.2,0.003032
1.233333,0.000042
1.266667,0.000007
1.3,0.000000
1.333333,0.000000
1.366667,0.000000
1.4,0.003033
1.433333,0.000042
1.466667,0.000007
1.5,0.000000
1.533333,0.000000
1.566667,0.037396
1.6,0.003060
1.633333,0.000046
1.666667,0.000006
1.7,0.000000
1.733333,0.000000
1.766667,0.000000
1.8,0.003044
1.833333,0.000043
1.866667,0.000007
1.9,0.000000
1.933333,0.000000
1.966667,0.000000
2,0.076207
2.033333,0.001027
2.066667,0.002375
2.1,0.001907
2.133333,0.002561
2.166667,0.002406
2.2,0.003187
2.233333,0.000058
2.266667,0.000007
2.3,0.000001
2.333333,0.000000
2.366667,0.000000
2.4,0.003031
2.433333,0.000043
2.466667,0.030621
2.5,0.000040
2.533333,0.000007
2.566667,0.000000
2.6,0.003039
2.633333,0.000044
2.666667,0.000006
2.7,0.000000
2.733333,0.000000
2.766667,0.000000
2.8,0.003048
2.833333,0.000044
2.866667,0.000007
2.9,0.000000
2.933333,0.000000
2.966667,0.000000
3,0.004079
3.033333,0.000032
3.066667,0.000002
3.1,0.000000
3.133333,0.000000
3.166667,0.000000
3.2,0.003032
3.233333,0.000043
3.266667,0.000006
3.3,0.000000
3.333333,0.000000
3.366667,0.000000
3.4,0.003033
3.433333,0.000043
3.466667,0.000006
3.5,0.000000
3.533333,0.000000
3.566667,0.000000
3.6,0.003039
3.633333,0.000043
3.666667,0.000007
3.7,0.000000
3.733333,0.000000
3.766667,0.579342
3.8,0.000142
3.833333,0.000017
3.866667,0.000001
3.9,0.000000
3.933333,0.080727
3.966667,0.004897
4,0.011139
4.033333,0.000419
4.066667,0.000047
4.1,0.000089
4.133333,0.095456
4.166667,0.000400
4.2,0.070696
4.233333,0.003799
4.266667,0.000027
4.3,0.000097
4.333333,0.000088
4.366667,0.000234
4.4,0.000246
4.433333,0.000295
4.466667,0.000430
4.5,0.000500
4.533333,0.000777
4.566667,0.001490
4.6,0.000140
4.633333,0.000015
4.666667,0.000049
4.7,0.062199
4.733333,0.000294
4.766667,0.000049
4.8,0.065671
4.833333,0.000359
4.866667,0.064735
4.9,0.015958
4.933333,0.000231
4.966667,0.000044
5,0.000886
5.033333,0.000046
5.066667,0.000008
5.1,0.000004
5.133333,0.000001
5.166667,0.000001
5.2,0.000001
5.233333,0.000001
5.266667,0.000000
5.3,0.000000
5.333333,0.000015
5.366667,0.043060
5.4,0.000159
5.433333,0.000029
5.466667,0.036066
5.5,0.000165
5.533333,0.000024
5.566667,0.043494
5.6,0.000296
5.633333,0.061214
5.666667,0.000328
5.7,0.000094
5.733333,0.066672
5.766667,0.000321
5.8,0.000032
5.833333,0.161965
5.866667,0.058808
5.9,0.022819
5.933333,0.001730
5.966667,0.005341
6,0.011598
6.033333,0.000257
6.066667,0.000262
6.1,0.000018
