t,YDIF
0,0
0.0333333,0.148487
0.0666667,0.119655
0.1,0.0116675
0.133333,0.0013
0.166667,5
0.2,0
0.233333,0
0.266667,0
0.3,0
0.333333,0
0.366667,0
0.4,0
0.433333,0
0.466667,0
0.5,0
0.533333,0
0.566667,0
0.6,0
0.633333,0
0.666667,0
0.7,0
0.733333,0
0.766667,0.04096
0.8,5.54792
0.833333,14.0897
0.866667,12.6471
0.9,11.0718
0.933333,0.0231
0.966667,0.0024275
1,0.0896125
1.033333,0.0023175
1.066667,0.0001975
1.1,3.5
1.133333,0
1.166667,0
1.2,0
1.233333,0
1.266667,0
1.3,0
1.333333,0
1.366667,0
1.4,0
1.433333,0
1.466667,0
1.5,0
1.533333,0
1.566667,0
1.6,0
1.633333,0
1.666667,0
1.7,0
1.733333,0
1.766667,0
1.8,0
1.833333,0
1.866667,0
1.9,0
1.933333,0
1.966667,0
2,9.24086
2.033333,9.51903
2.066667,9.86262
2.1,10.0622
2.133333,10.1159
2.166667,9.62664
2.2,0.019675
2.233333,0.001805
2.266667,9
2.3,0
2.333333,0
2.366667,0
2.4,0
2.433333,0
2.466667,0
2.5,0
2.533333,0
2.566667,0
2.6,0
2.633333,0
2.666667,0
2.7,0
2.733333,0
2.766667,0
2.8,0
2.833333,0
2.866667,0
2.9,0
2.933333,0
2.966667,0
3,0.11214
3.033333,0.00256
3.066667,0.00015
3.1,0
3.133333,0
3.166667,0
3.2,0
3.233333,0
3.266667,0
3.3,0
3.333333,0
3.366667,0
3.4,0
3.433333,0
3.466667,0
3.5,0
3.533333,0
3.566667,0
3.6,0
3.633333,0
3.666667,0
3.7,0
3.733333,0
3.766667,15.9167
3.8,0.0139225
3.833333,0.001375
3.866667,0.00011
3.9,0
3.933333,15.586
3.966667,17.2919
4,15.8674
4.033333,0.04952
4.066667,0.08545
4.1,0.02622
4.133333,12.1331
4.166667,0.0820525
4.2,7.95126
4.233333,1.17114
4.266667,1.16918
4.3,1.20235
4.333333,1.23549
4.366667,1.31101
4.4,1.39462
4.433333,1.48758
4.466667,1.62837
4.5,1.79225
4.533333,2.0465
4.566667,2.53416
4.6,0.0457025
4.633333,0.0045525
4.666667,0.003845
4.7,6.62677
4.733333,0.071665
4.766667,0.01338
4.8,10.8198
4.833333,0.0493525
4.866667,12.7528
4.9,11.5686
4.933333,0.043315
4.966667,0.0090625
5,0.259425
5.033333,0.010225
5.066667,0.00188
5.1,0.00041
5.133333,0.00032
5.166667,0
5.2,0
5.233333,0
5.266667,0
5.3,0
5.333333,0.0015875
5.366667,8.19678
5.4,0.0258075
5.433333,0.0032275
5.466667,3.43831
5.5,0.005775
5.533333,0.000605
5.566667,0
5.6,6
5.633333,2.73704
5.666667,0.01617
5.7,0.0030975
5.733333,6.60477
5.766667,0.033765
5.8,0.0219175
5.833333,21.0154
5.866667,0
5.9,0
5.933333,0
5.966667,0
6,0
6.033333,0
6.066667,0
6.1,0
6.133333,0
6.166667,0
6.2,0
6.233333,0
6.266667,0
6.3,0
6.333333,0
6.366667,0
6.4,0
6.433333,0
6.466667,0
6.5,0
6.533333,0
6.566667,0
6.6,0
6.633333,0
6.666667,0
6.7,0
6.733333,0
6.766667,0
6.8,0
6.833333,0
6.866667,0
6.9,0
6.933333,0
6.966667,0
7,0
7.033333,0
7.066667,0
7.1,0.01934
7.133333,0.098255
7.166667,0.268945
7.2,0.549735
7.233333,0.535432
7.266667,0.5895
7.3,0.67113
7.333333,0.755208
7.366667,0.821342
7.4,0.871128
7.433333,0.87914
7.466667,0.63121
7.5,0.897467
7.533333,0.895532
7.566667,0.900428
7.6,1.05745
7.633333,1.20966
7.666667,1.31001
7.7,1.52736
7.733333,2.28296
7.766667,2.53889
7.8,2.91536
7.833333,3.3976
7.866667,3.9457
7.9,4.20696
7.933333,4.471
7.966667,4.96942
8,5.28955
8.033333,3.9398
8.066667,0.36799
8.1,0.285527
8.133333,0.369855
8.166667,0.37827
8.2,0.107342
8.233333,0.179647
8.266667,0.297882
8.3,0.291268
8.333333,0.273515
8.366667,0.178427
8.4,0.160293
8.433333,0.27312
8.466667,0.127265
8.5,0.174998
8.533333,0.12267
8.566667,14.286
8.6,14.098
8.633333,14.8947
8.666667,13.8406
8.7,14.7112
8.733333,13.9522
8.766667,13.8121
8.8,14.3751
8.833333,13.2989
8.866667,13.7992
8.9,12.9107
8.933333,12.747
8.966667,13.3031
9,12.3438
9.033333,12.7167
9.066667,12.1734
9.1,12.3277
9.133333,12.8886
9.166667,12.1771
9.2,12.6681
9.233333,11.4312
9.266667,10.6469
9.3,11.0013
9.333333,10.3325
9.366667,10.5284
9.4,9.47649
9.433333,9.12278
9.466667,9.42976
9.5,8.85746
9.533333,9.36241
9.566667,8.92816
9.6,8.9824
9.633333,9.60957
9.666667,9.28502
9.7,9.95262
9.733333,9.74186
9.766667,10.3354
9.8,11.3402
9.833333,11.2731
9.866667,12.2337
9.9,11.8033
9.933333,11.9609
9.966667,12.7867
10,12.7959
10.033333,14.3421
10.066667,13.9222
10.1,14.1265
10.133333,15.1316
10.166667,13.5625
10.2,13.8351
10.233333,13.9842
10.266667,14.1212
10.3,14.4009
10.333333,14.4366
10.366667,14.4079
10.4,14.3594
10.433333,14.2423
10.466667,14.4153
10.5,17.7715
10.533333,0.0024725
10.566667,0.000545
10.6,0.0003475
10.633333,0.00028
10.666667,0.000265
10.7,0.000265
10.733333,0.000265
10.766667,0.000265
10.8,0.000265
10.833333,0.000265
10.866667,0.000265
10.9,0.000265
10.933333,0.000265
10.966667,0.000265
11,0.0081775
11.033333,0.0004775
11.066667,7.5
11.1,5
11.133333,5
11.166667,5
11.2,5
11.233333,5
11.266667,5
11.3,5
11.333333,5
11.366667,5
11.4,5
11.433333,5
11.466667,5
11.5,5
11.533333,5
11.566667,5
11.6,5
11.633333,5
11.666667,5
11.7,5
11.733333,5
11.766667,5
11.8,5
11.833333,5
11.866667,5
11.9,5
11.933333,5
11.966667,5
12,0.0004725
12.033333,0.0004775
12.066667,7.5
12.1,5
12.133333,5
12.166667,5
12.2,5
12.233333,5
12.266667,5
12.3,5
12.333333,5
12.366667,5
12.4,5
12.433333,5
12.466667,5
12.5,5
12.533333,5
12.566667,5
12.6,5
12.633333,5
12.666667,5
12.7,5
12.733333,5
12.766667,5
12.8,5
12.833333,5
12.866667,5
12.9,5
12.933333,5
12.966667,5
13,0.0004725
13.033333,0.0004775
13.066667,7.5
13.1,5
13.133333,1.10778
13.166667,1.0722
13.2,1.11381
13.233333,1.14191
13.266667,1.20968
13.3,1.28534
13.333333,1.3743
13.366667,1.50971
13.4,1.66636
13.433333,1.90446
13.466667,2.37683
13.5,0.0131325
13.533333,0.0039725
13.566667,0.0023625
13.6,0.002135
13.633333,0.002135
13.666667,0.002135
13.7,0.002135
13.733333,0.002135
13.766667,0.002135
13.8,0.002135
13.833333,0.002135
13.866667,0.002135
13.9,0.002135
13.933333,0.002135
13.966667,0.002135
14,0.06241
14.033333,0.002875
14.066667,0.00077
14.1,0.0006
14.133333,0.000575
14.166667,0.000575
14.2,0.000575
14.233333,0.000575
14.266667,0.000575
14.3,0.000575
14.333333,0.000575
14.366667,0.000575
14.4,0.000575
14.433333,0.000575
14.466667,0.000575
14.5,0.000575
14.533333,0.000575
14.566667,0.000575
14.6,0.000575
14.633333,0.000575
14.666667,0.000575
14.7,0.000575
14.733333,0.000575
14.766667,0.000575
14.8,0.000575
14.833333,0.000575
14.866667,0.000575
14.9,0.000575
14.933333,0.000575
14.966667,0.000575
15,0.002985
15.033333,0.002875
15.066667,0.00077
15.1,0.0006
15.133333,0.000575
