t,YDIF
0,0
0.0333667,0.101068
0.0667333,0.08548
0.1001,0.0095925
0.133467,0.000815
0.166833,6
0.2002,3
0.233567,0
0.266933,0
0.3003,0
0.333667,0
0.367033,0
0.4004,0
0.433767,0
0.467133,0
0.5005,0
0.533867,0
0.567233,0
0.6006,0
0.633967,0
0.667333,0
0.7007,0
0.734067,0
0.767433,0
0.8008,0
0.834167,0
0.867533,0
0.9009,0
0.934267,0
0.967633,0
1.001,0.0660825
1.034367,0.00147
1.067733,4
1.1011,0
1.134467,0
1.167833,0
1.2012,0
1.234567,0
1.267933,0
1.3013,0
1.334667,0
1.368033,0
1.4014,0
1.434767,0
1.468133,0
1.5015,0
1.534867,0
1.568233,0
1.6016,0
1.634967,0
1.668333,0
1.7017,0
1.735067,0
1.768433,0
1.8018,0
1.835167,0
1.868533,0
1.9019,0
1.935267,0.0048175
1.968633,5.85604
2.002,19.0782
2.035367,20.6916
2.068733,12.1851
2.1021,0.161128
2.135467,0.0151725
2.168833,0.001115
2.2022,3
2.235567,0
2.268933,0
2.3023,0
2.335667,0
2.369033,0
2.4024,0
2.435767,0
2.469133,0
2.5025,9.10422
2.535867,9.46636
2.569233,9.78947
2.6026,10.1099
2.635967,10.1083
2.669333,9.60686
2.7027,0.0197375
2.736067,0.0017625
2.769433,7
2.8028,0
2.836167,0
2.869533,0
2.9029,0
2.936267,0
2.969633,0
3.003,0.113485
3.036367,0.00256
3.069733,0.00015
3.1031,0
3.136467,0
3.169833,0
3.2032,0
3.236567,0
3.269933,0
3.3033,0
3.336667,0
3.370033,0
3.4034,0
3.436767,0
3.470133,15.0985
3.5035,0.0134425
3.536867,0.00145
3.570233,3
3.6036,0.109812
3.636967,0.00055
3.670333,0.076535
3.7037,0.0009325
3.737067,0.127105
3.770433,0.00146
3.8038,0.18875
3.837167,0.0231675
3.870533,0.001525
3.9039,0.00011
3.937267,3
3.970633,0.0577475
4.004,0.0638775
4.037367,0.004085
4.070733,0.0055825
4.1041,0.179627
4.137467,0.0024475
4.170833,0.056965
4.2042,0.00011
4.237567,6
4.270933,0
4.3043,0
4.337667,0.05692
4.371033,0.00014
4.4044,0.0569825
4.437767,6
4.471133,0
4.5045,0
4.537867,0
4.571233,0
4.6046,0.0567625
4.637967,0.0003375
4.671333,0.056155
4.7047,0.0005
4.738067,0.00013
4.771433,0
4.8048,0.110067
4.838167,0.0005725
4.871533,0.11051
4.9049,0.0022725
4.938267,0.11128
4.971633,0.000435
5.005,0.0109475
5.038367,0.003615
5.071733,0.06002
5.1051,0.000165
5.138467,0.059735
