t,scene_score
0,0.000000
0.0333667,0.001725
0.0667333,0.000384
0.1001,0.000150
0.133467,0.000013
0.166833,0.000000
0.2002,0.003218
0.233567,0.000044
0.266933,0.000007
0.3003,0.000001
0.333667,0.000000
0.367033,0.000000
0.4004,0.003180
0.433767,0.000044
0.467133,0.000008
0.5005,0.000000
0.533867,0.000000
0.567233,0.000000
0.6006,0.003165
0.633967,0.000044
0.667333,0.000007
0.7007,0.000000
0.734067,0.000000
0.767433,0.000000
0.8008,0.003171
0.834167,0.000045
0.867533,0.000007
0.9009,0.000000
0.934267,0.000000
0.967633,0.000000
1.001,0.004045
1.034367,0.000025
1.067733,0.000002
1.1011,0.000000
1.134467,0.000000
1.167833,0.000000
1.2012,0.003141
1.234567,0.000043
1.267933,0.000007
1.3013,0.000000
1.334667,0.000000
1.368033,0.000000
1.4014,0.003157
1.434767,0.000043
1.468133,0.000007
1.5015,0.000000
1.534867,0.000000
1.568233,0.000000
1.6016,0.003158
1.634967,0.000045
1.668333,0.000007
1.7017,0.000000
1.735067,0.000000
1.768433,0.000000
1.8018,0.003164
1.835167,0.000044
1.868533,0.000007
1.9019,0.000001
1.935267,0.000009
1.968633,0.013700
2.002,0.054372
2.035367,0.047770
2.068733,0.044274
2.1021,0.001720
2.135467,0.000130
2.168833,0.000012
2.2022,0.003131
2.235567,0.000043
2.268933,0.000007
2.3023,0.000000
2.335667,0.000000
2.369033,0.000000
2.4024,0.003156
2.435767,0.000043
2.469133,0.000006
2.5025,0.073354
2.535867,0.002386
2.569233,0.002362
2.6026,0.005215
2.635967,0.000655
2.669333,0.002427
2.7027,0.000151
2.736067,0.000014
2.769433,0.000000
2.8028,0.003168
2.836167,0.000045
2.869533,0.000008
2.9029,0.000000
2.936267,0.000000
2.969633,0.000000
3.003,0.004247
3.036367,0.000033
3.069733,0.000003
3.1031,0.000000
3.136467,0.000000
3.169833,0.000000
3.2032,0.003141
3.236567,0.000044
3.269933,0.000007
3.3033,0.000000
3.336667,0.000000
3.370033,0.000000
3.4034,0.003158
3.436767,0.000043
3.470133,0.276473
3.5035,0.000142
3.536867,0.000018
3.570233,0.000001
3.6036,0.000211
3.636967,0.000001
3.670333,0.000147
3.7037,0.000002
3.737067,0.000243
3.770433,0.000003
3.8038,0.000889
3.837167,0.000119
3.870533,0.000011
3.9039,0.000001
3.937267,0.000000
3.970633,0.000111
4.004,0.000483
4.037367,0.000026
4.070733,0.000011
4.1041,0.000335
4.137467,0.000005
4.170833,0.000105
4.2042,0.000000
4.237567,0.000000
4.270933,0.000000
4.3043,0.000000
4.337667,0.000110
4.371033,0.000000
4.4044,0.000110
