t,scene_score
0,0.000000
0.0333333,0.001042
0.0666667,0.000145
0.1,0.000092
0.133333,0.000008
0.166667,0.000000
0.2,0.003164
0.233333,0.000043
0.266667,0.000007
0.3,0.000001
0.333333,0.000000
0.366667,0.000000
0.4,0.003140
0.433333,0.000041
0.466667,0.000006
0.5,0.000000
0.533333,0.000000
0.566667,0.000000
0.6,0.000000
0.633333,0.000000
0.666667,0.000000
0.7,0.000000
0.733333,0.000000
0.766667,0.000083
0.8,0.010607
0.833333,0.036279
0.866667,0.035821
0.9,0.006776
0.933333,0.000168
0.966667,0.000020
1,0.000001
1.033333,0.000000
1.066667,0.000000
1.1,0.000000
1.133333,0.000000
1.166667,0.000000
1.2,0.000000
1.233333,0.000000
1.266667,0.000000
1.3,0.000000
1.333333,0.000000
1.366667,0.000000
1.4,0.000000
1.433333,0.000000
1.466667,0.000000
1.5,0.000000
1.533333,0.000000
1.566667,0.000000
1.6,0.000000
1.633333,0.000000
1.666667,0.000000
1.7,0.000000
1.733333,0.000000
1.766667,0.000000
1.8,0.000000
1.833333,0.000000
1.866667,0.000000
1.9,0.000000
1.933333,0.000000
1.966667,0.000000
2,0.073096
2.033333,0.001793
2.066667,0.002286
2.1,0.002411
2.133333,0.002262
2.166667,0.002725
2.2,0.000150
2.233333,0.000014
2.266667,0.060843
2.3,0.000031
2.333333,0.000005
2.366667,0.000001
2.4,0.000000
2.433333,0.000000
2.466667,0.000000
2.5,0.000000
2.533333,0.000000
2.566667,0.000000
2.6,0.000000
2.633333,0.000000
2.666667,0.000000
2.7,0.000000
2.733333,0.000000
2.766667,0.000000
2.8,0.000000
2.833333,0.000000
2.866667,0.000000
2.9,0.000000
2.933333,0.000000
2.966667,0.000000
3,0.000000
3.033333,0.000000
3.066667,0.000000
3.1,0.000000
3.133333,0.000000
3.166667,0.000000
3.2,0.000000
3.233333,0.000000
3.266667,0.000000
3.3,0.000000
3.333333,0.000000
3.366667,0.000000
3.4,0.000000
3.433333,0.000000
3.466667,0.000000
3.5,1.000000
3.533333,0.000669
3.566667,0.000086
3.6,0.000066
3.633333,0.000047
3.666667,0.000071
3.7,0.000034
3.733333,0.000112
3.766667,0.000066
3.8,0.009531
3.833333,0.004805
3.866667,0.001148
3.9,0.000647
3.933333,0.000333
3.966667,0.000381
4,0.001180
4.033333,0.001527
4.066667,0.000053
