t,YDIF
0,0
0.0333333,0.0775925
0.0666667,0.07228
0.1,0.00516
0.133333,0.00036
0.166667,0
0.2,0
0.233333,0
0.266667,0
0.3,0
0.333333,0
0.366667,0
0.4,0
0.433333,0
0.466667,0
0.5,0
0.533333,0
0.566667,0
0.6,0
0.633333,0
0.666667,0
0.7,0
0.733333,0
0.766667,0.043285
0.8,3.07917
0.833333,11.5812
0.866667,13.4001
0.9,10.7174
0.933333,0.0233225
0.966667,0.0029475
1,0.00015
1.033333,0
1.066667,0
1.1,0
1.133333,0
1.166667,0
1.2,0
1.233333,0
1.266667,0
1.3,0
1.333333,0
1.366667,0
1.4,0
1.433333,0
1.466667,0
1.5,0
1.533333,0
1.566667,0
1.6,0
1.633333,0
1.666667,0
1.7,0
1.733333,0
1.766667,0
1.8,0
1.833333,0
1.866667,0
1.9,0
1.933333,0
1.966667,0
2,9.12603
2.033333,9.38927
2.066667,9.69958
2.1,10.0823
2.133333,10.1122
2.166667,9.62871
2.2,0.018955
2.233333,0.00209
2.266667,3
2.3,0
2.333333,0
2.366667,0
2.4,0
2.433333,0
2.466667,0
2.5,0
2.533333,0
2.566667,0
2.6,0
2.633333,0
2.666667,0
2.7,0
2.733333,0
2.766667,0
2.8,0
2.833333,0
2.866667,0
2.9,0
2.933333,0
2.966667,0
3,0
3.033333,0
3.066667,0
3.1,0
3.133333,0
3.166667,0
3.2,0
3.233333,0
3.266667,0
3.3,0
3.333333,0
3.366667,0
3.4,0
3.433333,0
3.466667,0
3.5,176.621
3.533333,0.0564675
3.566667,0.0348775
3.6,0.0311125
3.633333,0.0361875
3.666667,0.040145
3.7,0.03975
3.733333,0.055265
3.766667,0.05309
3.8,1.13845
3.833333,0.57665
3.866667,0.44938
3.9,0.38353
3.933333,0.339687
3.966667,0.29266
4,0.491472
4.033333,0.260695
4.066667,0.249122
4.1,0.227908
4.133333,0.234338
4.166667,6.0826
4.2,5.43016
4.233333,0.092915
4.266667,0.0987325
4.3,0.049545
4.333333,0.0423875
4.366667,0.0410625
4.4,0.020405
4.433333,0.0167125
4.466667,0.023225
4.5,0.16776
4.533333,0.073775
4.566667,0.1186
4.6,0.0867825
4.633333,0.08267
4.666667,0.196318
4.7,0.223277
4.733333,0.114022
4.766667,0.20357
4.8,0.0690275
4.833333,0.05468
4.866667,0.0930625
4.9,0.0525175
4.933333,0.0580775
4.966667,0.029405
5,0.1537
5.033333,0.04307
5.066667,0.0503625
5.1,0.0266875
5.133333,0.055775
5.166667,0.123082
5.2,0.0245825
5.233333,0.06268
5.266667,0.118697
5.3,0.05642
5.333333,125.038
5.366667,12.6621
5.4,0.0453375
5.433333,0.0063725
5.466667,38.0576
5.5,0.04882
5.533333,17.2419
5.566667,21.6547
5.6,6.12181
5.633333,13.3132
5.666667,0.03312
5.7,12.1417
5.733333,7.35764
5.766667,10.8023
5.8,14.5775
5.833333,0.037915
5.866667,27.8925
5.9,0.0323225
5.933333,13.5299
5.966667,11.3117
6,0.01078
6.033333,19.757
6.066667,0.0425075
6.1,0.0078625
6.133333,12.2226
6.166667,20.7937
6.2,4.4238
6.233333,0.470615
6.266667,17.1695
6.3,0.49328
6.333333,0.381958
6.366667,5.88594
6.4,0.467925
6.433333,24.3123
6.466667,0.436635
6.5,5.44787
6.533333,14.5341
6.566667,0.48216
