t,scene_score
0,0.000000
0.0333333,0.002122
0.0666667,0.000341
0.1,0.000811
0.133333,0.000116
0.166667,0.000006
0.2,0.003186
0.233333,0.000044
0.266667,0.000007
0.3,0.000000
0.333333,0.000000
0.366667,0.000000
0.4,0.003161
0.433333,0.000046
0.466667,0.000007
0.5,0.000000
0.533333,0.000000
0.566667,0.000000
0.6,0.003137
0.633333,0.000047
0.666667,0.000007
0.7,0.000000
0.733333,0.000000
0.766667,0.000083
0.8,0.018383
0.833333,0.029419
0.866667,0.036329
0.9,0.005928
0.933333,0.000170
0.966667,0.000020
1,0.003121
1.033333,0.000046
1.066667,0.000008
1.1,0.000000
1.133333,0.000000
1.166667,0.000000
1.2,0.003154
1.233333,0.000046
1.266667,0.000008
1.3,0.000001
1.333333,0.000000
1.366667,0.000000
1.4,0.003149
1.433333,0.000047
1.466667,0.000008
1.5,0.000000
1.533333,0.000000
1.566667,0.000000
1.6,0.003134
1.633333,0.000046
1.666667,0.000007
1.7,0.000000
1.733333,0.000000
1.766667,0.000000
1.8,0.003145
1.833333,0.000047
1.866667,0.000008
1.9,0.000000
1.933333,0.000000
1.966667,0.000000
2,0.076035
2.033333,0.000973
2.066667,0.002297
2.1,0.002112
2.133333,0.002810
2.166667,0.002563
2.2,0.003311
2.233333,0.000061
2.266667,0.000008
2.3,0.000000
2.333333,0.000000
2.366667,0.000000
2.4,0.003145
2.433333,0.000045
2.466667,0.061593
2.5,0.000040
2.533333,0.000006
2.566667,0.000000
2.6,0.003132
2.633333,0.000046
2.666667,0.000007
2.7,0.000000
2.733333,0.000000
2.766667,0.000000
2.8,0.003150
2.833333,0.000047
2.866667,0.000008
2.9,0.000000
2.933333,0.000000
2.966667,0.000000
3,0.003137
3.033333,0.000048
3.066667,0.000008
3.1,0.000001
3.133333,0.000000
3.166667,0.000000
3.2,0.003156
3.233333,0.000047
3.266667,0.000008
3.3,0.000000
3.333333,0.000000
3.366667,0.000000
3.4,0.003147
3.433333,0.000047
3.466667,0.000008
3.5,0.000000
3.533333,0.000000
3.566667,0.000000
3.6,0.003131
3.633333,0.000045
3.666667,0.000006
3.7,0.000000
3.733333,0.000000
3.766667,0.000000
3.8,0.003145
3.833333,0.583529
3.866667,0.002225
3.9,0.000196
3.933333,0.000039
3.966667,0.000045
4,0.000121
4.033333,0.000135
4.066667,0.000166
4.1,0.000253
4.133333,0.000298
4.166667,0.000435
4.2,0.000912
4.233333,0.001258
4.266667,0.000096
4.3,0.000023
4.333333,0.000025
4.366667,0.000002
4.4,0.000001
4.433333,0.000003
4.466667,0.000000
4.5,0.000068
4.533333,0.000041
4.566667,0.000086
4.6,0.000046
4.633333,0.000074
4.666667,0.000019
4.7,0.000012
4.733333,0.000030
4.766667,0.000017
4.8,0.000023
4.833333,0.000105
4.866667,0.000008
4.9,0.000037
4.933333,0.000046
4.966667,0.000026
5,0.000122
5.033333,0.000116
5.066667,0.000023
5.1,0.000227
5.133333,0.000074
5.166667,0.000203
5.2,0.000232
5.233333,0.000107
5.266667,0.000009
5.3,0.000000
5.333333,0.000000
5.366667,0.000000
5.4,0.000000
5.433333,0.000000
5.466667,0.000000
5.5,0.000000
5.533333,0.000000
5.566667,0.000000
5.6,0.000000
5.633333,0.000000
5.666667,0.000000
5.7,0.000000
5.733333,0.001362
5.766667,0.000213
5.8,0.000056
5.833333,0.000044
5.866667,0.000048
5.9,0.000041
5.933333,0.000091
5.966667,0.000050
6,0.000017
6.033333,0.000014
6.066667,0.000003
6.1,0.000027
6.133333,0.000019
6.166667,0.000006
6.2,0.089824
6.233333,0.002257
6.266667,0.000016
6.3,0.000006
6.333333,0.000013
6.366667,0.000000
6.4,0.000005
6.433333,0.000007
6.466667,0.000032
6.5,0.000076
6.533333,0.000130
6.566667,0.000050
6.6,0.000035
6.633333,0.000008
6.666667,0.000047
6.7,0.000137
6.733333,0.000147
6.766667,0.000019
6.8,0.000001
6.833333,0.000000
6.866667,0.000000
6.9,0.000000
6.933333,0.000000
6.966667,0.000000
7,0.000000
7.033333,0.000000
7.066667,0.000000
7.1,0.000000
7.133333,0.000000
7.166667,0.000000
7.2,0.000000
7.233333,0.000000
7.266667,0.000000
7.3,0.000000
7.333333,0.000000
7.366667,0.000000
7.4,0.000000
7.433333,0.000000
7.466667,0.000000
7.5,0.000000
7.533333,0.000000
7.566667,0.000000
7.6,0.000000
7.633333,0.000000
7.666667,0.000000
7.7,0.000000
7.733333,0.000000
7.766667,0.000000
7.8,0.000000
7.833333,0.151319
7.866667,0.000177
7.9,0.000012
7.933333,0.000000
7.966667,0.000000
8,0.001027
8.033333,0.000382
8.066667,0.000181
8.1,0.000066
8.133333,0.000016
8.166667,0.000005
8.2,0.000001
8.233333,0.000000
8.266667,0.000000
8.3,0.000000
8.333333,0.000000
8.366667,0.000000
8.4,0.000000
8.433333,0.000000
8.466667,0.000000
8.5,0.000000
8.533333,0.000000
8.566667,0.000000
8.6,0.000000
8.633333,0.000000
8.666667,0.000000
8.7,0.000000
8.733333,0.000000
8.766667,0.000000
8.8,0.000000
8.833333,0.000000
8.866667,0.000000
8.9,0.000000
8.933333,0.000000
8.966667,0.000000
9,0.000000
9.033333,0.000000
9.066667,0.000000
9.1,0.000000
9.133333,0.000000
9.166667,0.000000
9.2,0.000000
9.233333,0.000000
9.266667,0.000000
9.3,0.000000
9.333333,0.000000
9.366667,0.000000
9.4,0.000000
9.433333,0.000000
9.466667,0.000000
9.5,0.000000
9.533333,0.000000
9.566667,0.000000
9.6,0.000000
9.633333,0.000000
9.666667,0.000000
9.7,0.000000
9.733333,0.000000
9.766667,0.000000
9.8,0.000000
9.833333,0.000000
9.866667,0.000000
9.9,0.000000
9.933333,0.000000
9.966667,0.000000
10,0.000000
10.033333,0.000000
10.066667,0.000000
10.1,0.000000
10.133333,0.000000
10.166667,0.000000
10.2,0.000000
10.233333,0.000000
10.266667,0.000000
10.3,0.000000
10.333333,0.000000
10.366667,0.000000
10.4,0.000000
10.433333,1.000000
10.466667,0.123809
10.5,0.084412
10.533333,0.011446
10.566667,0.000031
10.6,0.000008
10.633333,0.000004
10.666667,0.000000
10.7,0.000000
10.733333,0.000000
10.766667,0.000000
10.8,0.000000
10.833333,0.000000
10.866667,0.000000
10.9,0.000000
10.933333,0.000000
10.966667,0.000000
11,0.000000
11.033333,0.000000
11.066667,0.000000
11.1,0.000000
11.133333,0.000000
11.166667,0.000000
11.2,0.000000
11.233333,0.000000
11.266667,0.000000
11.3,0.000000
11.333333,0.000000
11.366667,0.000000
11.4,0.000000
11.433333,0.000000
11.466667,0.000000
11.5,0.000000
11.533333,0.000000
11.566667,0.000000
11.6,0.000000
11.633333,0.000000
11.666667,0.000000
11.7,0.000000
11.733333,0.000000
11.766667,0.000000
11.8,0.000000
11.833333,0.000000
11.866667,0.000000
11.9,0.000000
11.933333,0.000000
11.966667,0.000000
12,0.000000
12.033333,0.000000
12.066667,0.000000
12.1,1.000000
12.133333,0.000027
12.166667,0.000042
12.2,0.000028
12.233333,0.000006
12.266667,0.000011
12.3,0.000003
12.333333,0.000001
12.366667,0.000000
12.4,0.000000
12.433333,0.000000
12.466667,0.000000
12.5,0.000000
12.533333,0.000000
12.566667,0.000000
12.6,0.000000
12.633333,0.000000
12.666667,0.000000
12.7,0.000000
12.733333,0.000000
12.766667,0.000000
12.8,0.000000
12.833333,0.000000
12.866667,0.000000
12.9,0.000000
12.933333,0.000000
12.966667,0.000000
13,0.000000
13.033333,0.000000
13.066667,0.000000
13.1,0.000000
13.133333,0.000000
13.166667,0.000000
13.2,0.000000
13.233333,0.000000
13.266667,0.000000
13.3,0.000000
13.333333,0.000000
13.366667,0.000000
13.4,0.000000
13.433333,0.000000
13.466667,0.000000
13.5,0.000000
13.533333,0.000000
13.566667,0.000000
13.6,0.000000
13.633333,0.000000
13.666667,0.000996
13.7,0.000079
13.733333,0.000033
13.766667,0.000037
13.8,0.000055
13.833333,0.000075
13.866667,0.000106
13.9,0.000045
13.933333,0.000016
13.966667,0.000001
14,0.000004
14.033333,0.000005
14.066667,0.000005
14.1,0.000002
14.133333,0.045125
14.166667,0.001462
14.2,0.000025
14.233333,0.000073
14.266667,0.000035
14.3,0.000002
14.333333,0.000005
14.366667,0.000029
14.4,0.000026
14.433333,0.000068
14.466667,0.000093
14.5,0.000059
14.533333,0.000043
14.566667,0.000019
14.6,0.000048
14.633333,0.000065
14.666667,0.000026
14.7,0.000010
14.733333,0.000002
14.766667,0.000000
14.8,0.000000
14.833333,0.000000
14.866667,0.000000
14.9,0.000000
14.933333,0.000000
14.966667,0.000000
15,0.000000
15.033333,0.000000
15.066667,0.000000
15.1,0.000000
15.133333,0.000000
15.166667,0.000000
15.2,0.000000
15.233333,0.000000
15.266667,0.000000
15.3,0.000000
15.333333,0.000000
15.366667,0.000000
15.4,0.000000
15.433333,0.000000
15.466667,0.000000
15.5,0.000000
15.533333,0.000000
15.566667,0.000000
15.6,0.000000
15.633333,0.000000
15.666667,0.000000
15.7,0.000000
15.733333,0.000000
15.766667,0.000000
15.8,0.000000
15.833333,0.000000
15.866667,0.000000
15.9,0.000000
15.933333,0.000000
15.966667,0.000000
16,0.000217
16.033333,0.000010
16.066667,0.000003
16.1,0.000001
16.133333,0.000000
16.166667,0.000000
16.2,0.048318
16.233333,0.000013
16.266667,0.000004
16.3,0.000001
16.333333,0.000000
16.366667,0.000000
16.4,0.000000
16.433333,0.000000
16.466667,0.000000
16.5,0.000000
16.533333,0.000000
16.566667,0.000000
16.6,0.000000
16.633333,0.000000
16.666667,0.000000
16.7,0.000000
16.733333,0.000000
16.766667,0.000000
16.8,0.000000
16.833333,0.000000
16.866667,0.000000
16.9,0.000000
16.933333,0.000000
16.966667,0.000000
17,0.000000
17.033333,0.000000
17.066667,0.000000
17.1,0.000000
17.133333,0.000000
17.166667,0.000000
17.2,0.000000
17.233333,0.000000
17.266667,0.000000
17.3,0.000000
17.333333,0.000000
17.366667,0.000000
17.4,0.000000
17.433333,0.000000
17.466667,0.000000
17.5,0.000000
17.533333,0.000000
17.566667,0.000000
17.6,0.000000
17.633333,0.000000
17.666667,0.000000
17.7,0.000000
17.733333,0.000000
17.766667,0.000000
17.8,0.000000
17.833333,0.000000
17.866667,0.000000
17.9,0.000000
17.933333,0.000000
17.966667,0.000000
18,0.000000
18.033333,0.000000
18.066667,0.000000
18.1,0.000000
18.133333,0.000000
18.166667,0.000000
18.2,0.000000
18.233333,0.000000
18.266667,0.000334
18.3,0.000094
18.333333,0.039486
18.366667,0.000407
18.4,0.000001
18.433333,0.000066
18.466667,0.000003
18.5,0.000073
18.533333,0.000943
18.566667,0.000431
18.6,0.000103
18.633333,0.000096
18.666667,0.000498
18.7,0.000111
18.733333,0.000073
18.766667,0.000087
18.8,0.000054
18.833333,0.000008
18.866667,0.000029
18.9,0.000012
18.933333,0.000002
18.966667,0.000084
19,0.000012
19.033333,0.000041
19.066667,0.000003
19.1,0.000054
19.133333,0.000018
19.166667,0.000045
19.2,0.000046
19.233333,0.000058
19.266667,0.000015
19.3,0.000005
19.333333,0.000000
19.366667,0.000000
19.4,0.000000
19.433333,0.000000
19.466667,0.000000
19.5,0.000000
19.533333,0.000000
19.566667,0.000000
19.6,0.000000
19.633333,0.000000
19.666667,0.000000
19.7,0.000000
19.733333,0.000000
19.766667,0.000000
19.8,0.000000
19.833333,0.000000
19.866667,0.000000
19.9,0.000000
19.933333,0.000000
19.966667,0.000000
20,0.000000
20.033333,0.000000
20.066667,0.000000
20.1,0.000000
20.133333,0.000000
20.166667,0.000000
20.2,0.000000
20.233333,0.000000
20.266667,0.000000
20.3,0.000000
20.333333,0.000000
20.366667,0.000000
20.4,0.000000
20.433333,0.000000
20.466667,0.000000
20.5,0.000000
20.533333,0.000000
20.566667,0.000000
20.6,0.000000
20.633333,0.000000
20.666667,0.000000
20.7,0.000000
20.733333,0.000000
20.766667,0.000000
20.8,0.000000
20.833333,0.000000
20.866667,0.000000
20.9,0.000000
20.933333,0.000000
20.966667,0.000000
21,0.034015
21.033333,0.000595
21.066667,0.000126
21.1,0.000122
21.133333,0.000129
21.166667,0.000001
21.2,0.000120
21.233333,0.000132
21.266667,0.000006
21.3,0.000012
21.333333,0.000005
21.366667,0.000014
21.4,0.000004
21.433333,0.000021
21.466667,0.000137
21.5,0.000114
21.533333,0.000146
21.566667,0.000017
21.6,0.000020
21.633333,0.000023
21.666667,0.000025
21.7,0.000154
21.733333,0.000038
21.766667,0.000041
21.8,0.000176
21.833333,0.000196
21.866667,0.000077
21.9,0.000249
21.933333,0.000582
21.966667,0.000757
22,0.006302
22.033333,0.000023
22.066667,0.000009
22.1,0.000003
22.133333,0.000000
22.166667,0.000000
22.2,0.000000
22.233333,0.000000
22.266667,0.000000
22.3,0.000000
22.333333,0.000000
22.366667,0.000000
22.4,0.000000
22.433333,0.000000
22.466667,0.000000
22.5,0.000000
22.533333,0.000000
22.566667,0.000000
22.6,0.000000
22.633333,0.000000
22.666667,0.000000
22.7,0.000000
22.733333,0.000000
22.766667,0.000000
22.8,0.000000
22.833333,0.000000
22.866667,0.000000
22.9,0.000000
22.933333,0.000000
22.966667,0.000000
23,0.000000
23.033333,0.000000
23.066667,0.000000
23.1,0.000000
23.133333,0.000000
23.166667,0.000000
23.2,0.000000
23.233333,0.239758
23.266667,0.000036
23.3,0.000007
23.333333,0.000002
23.366667,0.000004
23.4,0.000001
23.433333,0.000000
23.466667,0.000000
23.5,0.000000
23.533333,0.000000
23.566667,0.000000
23.6,0.000000
23.633333,0.000000
23.666667,0.000000
23.7,0.000000
23.733333,0.000000
23.766667,0.000000
23.8,0.000000
23.833333,0.000000
23.866667,0.000000
23.9,0.000000
23.933333,0.000000
23.966667,0.000000
24,0.000121
24.033333,0.000009
24.066667,0.000002
24.1,0.000001
24.133333,0.000000
24.166667,0.000000
24.2,0.000000
24.233333,0.000000
24.266667,0.000000
24.3,0.000000
24.333333,0.000000
24.366667,0.000000
24.4,0.000000
24.433333,0.000000
24.466667,0.000000
24.5,0.000000
24.533333,0.000000
24.566667,0.000000
24.6,0.000000
24.633333,0.000000
24.666667,0.000000
24.7,0.000000
24.733333,0.000000
24.766667,0.000000
24.8,0.000000
24.833333,0.000000
24.866667,0.000000
24.9,0.000000
24.933333,0.000000
24.966667,0.000000
25,0.000000
25.033333,0.000000
25.066667,0.000000
25.1,0.000000
25.133333,0.000000
25.166667,0.000000
25.2,0.000000
25.233333,0.000000
25.266667,0.000000
25.3,0.000000
25.333333,0.027425
25.366667,0.000516
25.4,0.000003
25.433333,0.000001
25.466667,0.000004
25.5,0.000002
25.533333,0.000003
25.566667,0.000003
25.6,0.000002
25.633333,0.000199
25.666667,0.000195
25.7,0.000003
25.733333,0.000202
25.766667,0.000197
25.8,0.000203
25.833333,0.000197
25.866667,0.000208
25.9,0.000200
25.933333,0.000202
25.966667,0.000007
26,0.000003
26.033333,0.000006
26.066667,0.000004
26.1,0.000008
26.133333,0.000204
26.166667,0.000191
26.2,0.000209
26.233333,0.000011
26.266667,0.000010
26.3,0.000212
26.333333,0.000181
26.366667,0.000013
26.4,0.000005
26.433333,0.000001
26.466667,0.000000
26.5,0.000000
26.533333,0.000000
26.566667,0.004579
26.6,0.000005
26.633333,0.000001
26.666667,0.000000
26.7,0.000000
26.733333,0.000000
26.766667,0.000000
26.8,0.000000
26.833333,0.000000
26.866667,0.000000
26.9,0.000000
26.933333,0.000000
26.966667,0.000000
27,0.000000
27.033333,0.000000
27.066667,0.000000
27.1,0.000000
27.133333,0.000000
27.166667,0.000000
27.2,0.000000
27.233333,0.000000
27.266667,0.000000
27.3,0.000000
27.333333,0.000000
27.366667,0.050166
27.4,0.000578
27.433333,0.000146
27.466667,0.000157
27.5,0.000023
27.533333,0.000195
27.566667,0.000186
27.6,0.000162
27.633333,0.000157
27.666667,0.000189
27.7,0.000004
27.733333,0.000196
27.766667,0.000214
27.8,0.000000
27.833333,0.000005
27.866667,0.000006
27.9,0.000003
27.933333,0.000009
27.966667,0.000009
28,0.000181
28.033333,0.000168
28.066667,0.000183
28.1,0.000172
28.133333,0.000201
28.166667,0.000013
28.2,0.000005
28.233333,0.000018
28.266667,0.000209
28.3,0.000022
28.333333,0.000008
28.366667,0.000046
28.4,0.000014
28.433333,0.000006
28.466667,0.000001
28.5,0.000000
28.533333,0.063564
28.566667,0.000020
28.6,0.000008
28.633333,0.000002
28.666667,0.000000
28.7,0.000000
28.733333,0.000000
28.766667,0.000000
28.8,0.000000
28.833333,0.000000
28.866667,0.000000
28.9,0.000000
28.933333,0.000000
28.966667,0.000000
29,0.000000
29.033333,0.000000
29.066667,0.000000
29.1,0.000000
29.133333,0.000000
29.166667,0.000000
29.2,0.000000
29.233333,0.000000
29.266667,0.000000
29.3,0.000000
29.333333,0.000000
29.366667,0.000000
29.4,0.000000
29.433333,0.000000
29.466667,0.000000
29.5,0.000000
29.533333,0.000000
29.566667,0.000000
29.6,0.000000
29.633333,0.000000
29.666667,0.000000
29.7,0.000000
29.733333,0.000000
29.766667,0.000000
29.8,0.000000
29.833333,0.000000
29.866667,0.000000
29.9,0.000000
29.933333,0.000000
29.966667,0.000000
30,0.000000
30.033333,0.000000
30.066667,0.000000
30.1,0.000000
30.133333,0.000000
30.166667,0.000000
30.2,0.000000
30.233333,0.000000
30.266667,0.000000
30.3,0.000000
30.333333,0.000000
30.366667,0.000000
30.4,0.049176
30.433333,0.000018
30.466667,0.000008
30.5,0.000002
30.533333,0.000000
30.566667,0.000000
30.6,0.000000
30.633333,0.000000
30.666667,0.000000
30.7,0.000000
30.733333,0.000000
30.766667,0.000000
30.8,0.000000
30.833333,0.000000
30.866667,0.000000
30.9,0.000000
30.933333,0.000000
30.966667,0.000000
31,0.000000
31.033333,0.000000
31.066667,0.000000
31.1,0.000000
31.133333,0.000000
31.166667,0.000000
31.2,0.000000
31.233333,0.000000
31.266667,0.000000
31.3,0.000000
31.333333,0.000000
31.366667,0.000000
31.4,0.000000
31.433333,0.000000
31.466667,0.000000
31.5,0.000000
31.533333,0.000000
31.566667,0.000000
31.6,0.000000
31.633333,0.000000
31.666667,0.000000
31.7,0.000000
31.733333,0.000000
31.766667,0.000000
31.8,0.000000
31.833333,0.000000
31.866667,0.000000
31.9,0.000000
31.933333,0.000000
31.966667,0.000000
32,0.000153
32.033333,0.000011
32.066667,0.000003
32.1,0.000001
32.133333,0.000000
32.166667,0.000000
32.2,0.000000
32.233333,0.000000
32.266667,0.000000
32.3,0.000000
32.333333,0.000000
32.366667,0.000000
32.4,0.000000
32.433333,0.000000
32.466667,0.000000
32.5,0.000000
32.533333,0.000000
32.566667,0.000000
32.6,0.000000
32.633333,0.000000
32.666667,0.000000
32.7,0.000000
32.733333,0.000000
32.766667,0.000000
32.8,0.000000
32.833333,0.000000
32.866667,0.000000
32.9,0.000000
32.933333,0.000000
32.966667,1.000000
33,0.108477
33.033333,0.000261
33.066667,0.000367
33.1,0.000302
33.133333,0.001118
33.166667,0.002255
33.2,0.000487
33.233333,0.000368
33.266667,0.000258
33.3,0.000446
33.333333,0.002873
33.366667,0.000555
33.4,0.000823
33.433333,0.000902
33.466667,0.001647
33.5,0.000465
33.533333,0.000157
33.566667,0.000721
33.6,0.000449
33.633333,0.000730
33.666667,0.000410
33.7,0.000241
33.733333,0.000567
