t,YDIF
0,0
0.0333333,0.245388
0.0666667,0.213702
0.1,0.127587
0.133333,0.013725
0.166667,0.0007
0.2,3
0.233333,0
0.266667,0
0.3,0
0.333333,0
0.366667,0
0.4,0
0.433333,0
0.466667,0
0.5,0
0.533333,0
0.566667,0
0.6,0
0.633333,0
0.666667,0
0.7,0
0.733333,0
0.766667,0.04297
0.8,5.36983
0.833333,12.6915
0.866667,13.7226
0.9,10.8609
0.933333,0.02327
0.966667,0.0024275
1,0.00011
1.033333,0
1.066667,0
1.1,0
1.133333,0
1.166667,0
1.2,0
1.233333,0
1.266667,0
1.3,0
1.333333,0
1.366667,0
1.4,0
1.433333,0
1.466667,0
1.5,0
1.533333,0
1.566667,0
1.6,0
1.633333,0
1.666667,0
1.7,0
1.733333,0
1.766667,0
1.8,0
1.833333,0
1.866667,0
1.9,0
1.933333,0
1.966667,0
2,9.02586
2.033333,9.37029
2.066667,9.70492
2.1,10.0312
2.133333,10.1092
2.166667,9.62819
2.2,0.020455
2.233333,0.0019475
2.266667,5
2.3,0
2.333333,0
2.366667,0
2.4,0
2.433333,0
2.466667,0
2.5,0
2.533333,0
2.566667,0
2.6,0
2.633333,0
2.666667,0
2.7,0
2.733333,0
2.766667,0
2.8,0
2.833333,0
2.866667,0
2.9,0
2.933333,0
2.966667,0
3,0
3.033333,0
3.066667,0
3.1,0
3.133333,0
3.166667,0
3.2,0
3.233333,0
3.266667,0
3.3,0
3.333333,0
3.366667,0
3.4,0
3.433333,0
3.466667,0
3.5,0
3.533333,0
3.566667,0
3.6,0
3.633333,0
3.666667,0
3.7,0
3.733333,0
3.766667,0
3.8,0
3.833333,17.0859
3.866667,0.271645
3.9,0.22575
3.933333,0.221555
3.966667,0.222445
4,0.233985
4.033333,0.247303
4.066667,0.26147
4.1,0.289255
4.133333,0.320188
4.166667,0.365858
4.2,0.472062
4.233333,0.32204
4.266667,0.32628
4.3,0.335395
4.333333,0.33046
4.366667,0.328068
4.4,0.33181
4.433333,0.331995
4.466667,0.33144
4.5,0.349023
4.533333,0.341295
4.566667,0.364982
4.6,0.353573
4.633333,0.374358
4.666667,0.380742
4.7,0.38344
4.733333,0.394668
4.766667,0.396365
4.8,0.40483
4.833333,0.437928
4.866667,0.44026
4.9,0.450418
4.933333,0.463987
