t,scene_score
0,0.000000
0.0333333,0.006316
0.0666667,0.000011
0.1,0.000002
0.133333,0.003790
0.166667,0.000137
0.2,0.007605
0.233333,0.000016
0.266667,0.000509
0.3,0.000047
0.333333,0.000002
0.366667,0.000000
0.4,0.004757
0.433333,0.000085
0.466667,0.000016
0.5,0.000001
0.533333,0.000000
0.566667,0.000000
0.6,0.004678
0.633333,0.000085
0.666667,0.000014
0.7,0.000001
0.733333,0.000000
0.766667,0.000063
0.8,0.014104
0.833333,0.029139
0.866667,0.033267
0.9,0.003262
0.933333,0.000217
0.966667,0.000033
1,0.004684
1.033333,0.000078
1.066667,0.000014
1.1,0.000000
1.133333,0.000000
1.166667,0.000000
1.2,0.004619
1.233333,0.000079
1.266667,0.000015
1.3,0.000001
1.333333,0.000000
1.366667,0.000000
1.4,0.004738
1.433333,0.000084
1.466667,0.000016
1.5,0.000001
1.533333,0.000000
1.566667,0.000000
1.6,0.004681
1.633333,0.000085
1.666667,0.000014
1.7,0.000001
1.733333,0.000000
1.766667,0.000000
1.8,0.004623
1.833333,0.000082
1.866667,0.000015
1.9,0.000000
1.933333,0.000000
1.966667,0.000000
2,0.072898
2.033333,0.000888
2.066667,0.003404
2.1,0.070442
2.133333,0.063021
2.166667,0.003467
2.2,0.004881
2.233333,0.000106
2.266667,0.000015
2.3,0.000001
2.333333,0.000000
2.366667,0.000000
2.4,0.004737
2.433333,0.000086
2.466667,0.000017
2.5,0.000001
2.533333,0.000000
2.566667,0.000000
2.6,0.004676
2.633333,0.000083
2.666667,0.000012
2.7,0.000001
2.733333,0.000000
2.766667,0.000000
2.8,0.004619
2.833333,0.000084
2.866667,0.000015
2.9,0.000000
2.933333,0.000000
2.966667,0.000000
3,0.004715
3.033333,0.000078
3.066667,0.000013
3.1,0.000000
3.133333,0.000000
3.166667,0.000000
3.2,0.004619
3.233333,0.000076
3.266667,0.000015
3.3,0.000001
3.333333,0.000000
3.366667,0.000000
3.4,0.004734
3.433333,0.000085
3.466667,0.000015
3.5,0.000001
3.533333,0.000000
3.566667,0.000000
3.6,1.000000
3.633333,0.018177
3.666667,0.007529
3.7,0.003201
3.733333,0.000622
3.766667,0.000516
3.8,0.112057
3.833333,0.004876
3.866667,0.002151
3.9,0.000267
3.933333,0.000231
3.966667,0.000317
4,0.000007
4.033333,0.000014
4.066667,0.000327
4.1,0.002442
4.133333,0.001901
4.166667,0.000344
4.2,0.023689
4.233333,0.004813
4.266667,0.000121
4.3,0.000466
4.333333,0.091475
4.366667,0.022955
4.4,0.011411
4.433333,0.002087
4.466667,0.011322
4.5,0.005531
4.533333,0.001301
4.566667,0.000131
4.6,0.002198
4.633333,0.000377
4.666667,0.000102
4.7,0.000003
4.733333,0.000016
4.766667,0.000075
4.8,0.000049
4.833333,0.043833
4.866667,0.000094
4.9,0.013757
4.933333,0.002921
4.966667,0.003860
5,0.002795
5.033333,0.002405
5.066667,0.004355
5.1,0.003289
5.133333,0.008253
5.166667,0.007403
5.2,0.000488
5.233333,0.027484
5.266667,0.023765
5.3,0.000537
5.333333,0.000090
5.366667,0.001689
5.4,0.002653
5.433333,0.001287
5.466667,0.000047
5.5,0.003761
5.533333,0.001526
5.566667,0.073312
5.6,0.040737
5.633333,0.002685
5.666667,0.000212
5.7,0.001288
5.733333,0.000376
5.766667,0.000200
5.8,0.001139
5.833333,0.001057
5.866667,0.000343
5.9,0.000245
5.933333,0.004440
5.966667,0.000931
6,0.002893
6.033333,0.010672
6.066667,0.000605
6.1,0.001974
6.133333,0.000541
6.166667,0.000195
6.2,0.042542
6.233333,0.002958
6.266667,0.003575
6.3,0.000305
6.333333,0.000009
6.366667,0.000045
6.4,0.028252
6.433333,0.010719
6.466667,0.004348
6.5,0.004145
6.533333,0.012998
6.566667,0.000687
6.6,0.002953
6.633333,0.000720
6.666667,0.730664
6.7,0.009222
6.733333,0.002948
6.766667,0.002460
6.8,0.000214
6.833333,0.000304
6.866667,0.000297
6.9,0.000125
6.933333,0.000011
6.966667,0.000001
7,0.000010
7.033333,0.000116
7.066667,0.000295
7.1,0.000206
7.133333,0.003648
7.166667,0.004809
7.2,0.074951
7.233333,0.015726
7.266667,0.000237
7.3,0.011199
7.333333,0.018208
7.366667,0.001162
7.4,0.018482
7.433333,0.009602
7.466667,0.000378
7.5,0.000379
7.533333,0.000341
7.566667,0.000145
7.6,0.000014
7.633333,0.000249
7.666667,0.000134
7.7,0.000095
7.733333,0.000442
7.766667,0.000321
7.8,0.000394
7.833333,0.000729
7.866667,0.001191
7.9,0.001292
7.933333,0.000621
7.966667,0.000713
8,0.001430
8.033333,0.001174
8.066667,0.001956
8.1,0.001142
8.133333,0.000736
8.166667,0.000749
8.2,0.001430
8.233333,0.001132
8.266667,0.000244
8.3,0.000334
8.333333,0.000396
8.366667,0.000547
8.4,0.001551
8.433333,0.001093
8.466667,0.000037
8.5,0.001888
8.533333,0.001718
8.566667,0.001066
8.6,0.000288
8.633333,0.000367
8.666667,0.000150
8.7,0.000645
8.733333,0.002038
8.766667,0.001477
8.8,0.062365
8.833333,0.000352
8.866667,0.000180
8.9,0.000098
8.933333,0.000003
8.966667,0.000027
9,0.000014
9.033333,0.000072
9.066667,0.000152
9.1,0.000165
9.133333,0.000383
9.166667,0.000309
9.2,0.000024
9.233333,0.000009
9.266667,0.000032
9.3,0.000033
9.333333,0.000004
9.366667,0.000012
9.4,0.000029
9.433333,0.000126
9.466667,0.000004
9.5,0.000018
9.533333,0.000003
9.566667,0.000016
9.6,0.000004
9.633333,0.000270
9.666667,0.000236
9.7,0.000002
9.733333,0.000021
9.766667,0.000014
9.8,0.001062
9.833333,0.001610
9.866667,0.001390
9.9,0.000583
9.933333,0.000003
9.966667,0.000001
10,0.000121
10.033333,0.000660
10.066667,0.001542
10.1,0.001151
10.133333,0.000490
10.166667,0.000269
10.2,0.000020
10.233333,0.000003
10.266667,0.221330
10.3,0.000071
10.333333,0.000023
10.366667,0.000335
10.4,0.000034
10.433333,0.003015
10.466667,0.000037
10.5,0.000017
10.533333,0.000003
10.566667,0.000001
10.6,0.000284
10.633333,0.000041
10.666667,0.000019
10.7,0.004010
10.733333,0.000019
10.766667,0.000257
10.8,0.000038
10.833333,0.000017
10.866667,0.000002
10.9,0.000001
10.933333,0.000227
10.966667,0.000035
11,0.000016
11.033333,0.000002
11.066667,0.000002
11.1,0.003696
11.133333,0.000047
11.166667,0.000019
11.2,0.000004
11.233333,0.000001
11.266667,0.000257
11.3,0.000037
11.333333,0.000017
11.366667,0.002762
11.4,0.000018
11.433333,0.000295
11.466667,0.000041
11.5,0.000017
11.533333,0.000003
11.566667,0.000000
11.6,0.000503
11.633333,0.000051
11.666667,0.000020
11.7,0.000002
11.733333,0.004143
11.766667,0.001957
11.8,0.000049
11.833333,0.000018
11.866667,0.168806
11.9,0.000047
11.933333,0.000045
11.966667,0.000031
12,0.000010
12.033333,0.000001
12.066667,0.000000
