t,YDIF
11.333333,0.0019575
11.366667,0.638463
11.4,0.0024525
11.433333,0.05027
11.466667,0.0055975
11.5,0.0018575
11.533333,0.0013825
11.566667,0.001325
11.6,0.0785975
11.633333,0.00661
11.666667,0.0020475
11.7,0.002355
11.733333,0.953198
11.766667,0.26719
11.8,0.006625
11.833333,0.002005
11.866667,22.0655
11.9,0.0052325
11.933333,0.010045
11.966667,0.002985
12,0.0018725
12.033333,0.001765
12.066667,0.001755
12.1,0.001755
12.133333,0.001755
12.166667,0.001755
12.2,0.001755
12.233333,0.001755
12.266667,0.001755
12.3,0.001755
12.333333,0.806588
12.366667,0.00267
12.4,0.0020325
12.433333,0.001985
12.466667,0.001955
12.5,0.00195
12.533333,0.00195
12.566667,0.00195
12.6,0.00195
12.633333,0.00195
12.666667,0.00195
12.7,0.00195
12.733333,0.00195
12.766667,6.48896
12.8,5.90047
12.833333,5.29118
12.866667,4.73477
12.9,4.31081
12.933333,3.86311
12.966667,3.57589
13,3.35242
13.033333,3.22973
13.066667,3.17148
13.1,3.28449
13.133333,3.33944
13.166667,3.37848
13.2,3.41853
13.233333,3.38209
13.266667,2.99463
13.3,2.59527
13.333333,2.45888
13.366667,2.4152
13.4,0.0144725
13.433333,0.0611075
13.466667,0.0458825
13.5,0.01343
13.533333,0.00627
13.566667,0.0049575
13.6,0.004595
13.633333,0.004575
13.666667,92.2321
13.7,0.00122
13.733333,0.0336975
13.766667,0.0833675
13.8,0.00135
13.833333,0.031405
13.866667,0.0138025
13.9,0.010855
13.933333,0.009825
13.966667,0.009765
14,0.009765
14.033333,0.009765
14.066667,0.009765
14.1,0.009765
14.133333,0.009765
14.166667,0.009765
14.2,0.009765
14.233333,0.009765
14.266667,0.009765
14.3,0.009765
14.333333,0.009765
14.366667,0.009765
14.4,0.009765
14.433333,0.009765
14.466667,0.009765
14.5,0.009765
14.533333,0.009765
14.566667,0.009765
14.6,0.009765
14.633333,0.009765
14.666667,0.009765
